С помощта на рефлексни дъги се осъществява проводната функция на гръбначния мозък.;не;Тема 3
В гръбначния мозък е представена част от вегетативната нервна система, осъществяваща неговата вегетативна функция, която е свързана с вътрешните органи.;да;Тема 3
От главния мозък излизат осем чифта черепно мозъчни нерви.;не;Тема 4
Мозъчния ствол е образуван от моста, продълговатия мозък и средния мозък.;да;Тема 4
Главния мозък се дели на гръбначен мозък, краен мозък и мозъчен ствол.;не;Тема 4
Блуждаещия нерв излиза от моста.;не;Тема 4
Мостът е продължение на гръбначния мозък.;не;Тема 4
Мостът обработва информация за сетивността и мускулите в областта на главата.;да;Тема 4
В средния мозък се намира център потискащ болката.;да;Тема 4
Междинният мозък е изграден от два хълма и подхълмие.;да;Тема 4
Към крайният мозък е прикачена епифизата.;не;Тема 4
Хипофизата е пряко свързана с изграждането на имунитета.;не;Тема 4
Хипофизата е прикачена към подхълмието на междинния мозък.;да;Тема 4
Малкият мозък е пред мозъчния ствол.;не;Тема 4
Функцията на малкия мозък е свързана с равновесието и мускулния тонус.;да;Тема 4
Двете полукълба на крайния мозък са свързани със снопове от бяло мозъчно вещество.;да;Тема 4
Базалните ядра са свързани с двигателната дейност.;да;Тема 4
Крайния мозък се състои от пет дяла - челен, теменен, тилен, слепоочен и гръбначен дял.;не;Тема 4
В задната част на челния дял, пред централната бразда се намира двигателната зона.;да;Тема 4
В теменният дял е разположена зрителната зона.;не;Тема 4
Зрителната зона е разположена в тилният дял.;да;Тема 4
В слепоочния дял се намира слуховата зона.;да;Тема 4
Крайният мозък е най-добре развитата част на главния мозък и представлява 80 процента от масата му.;да;Тема 4
Дейността на вегетативната нервна система не е под волев контрол и затова тя се нарича и автономна нервна система.;да;Тема 5
Вегетативната нервна система контролира постоянството на телесната маса.;не;Тема 5
Вегетативната нервна система контролира постоянството на телесната температура.;да;Тема 5
Вегетативната нервна система се състои от три части, които се различават по структура и функция.;не;Тема 5
Централната част на симпатикуса се намира в сивото вещество на гръдната част на гръбначния мозък.;да;Тема 5
Централната част на симпатикуса се намира в сивото вещество на кръстцовата част на гръбначния мозък.;не;Тема 5
Централната част на парасимпатикуса се намира в три области на малкия мозък и в сивото вещество на гръдната част на гръбначния мозък.;не;Тема 5
Централната част на парасимпатикуса се намира в четири области на мозъчния ствол ив сивото вещество на кръстцовата част на гръбначния мозък.;да;Тема 5
Симпатиковата и парасимпатиковата част на вегетативната нервна система обикновено имат синергично/еднопосочно/ действие.;не;Тема 5
Симпатиковата част на вегетативната нервна система забавя сърдечната дейност и разширява кръвоносните съдове.;не;Тема 5
Симпатиковата част на вегетативната нервна система разширява въздухоносните пътища в белите дробове и разширява зеницата.;да;Тема 5
Симпатиковата част на вегетативната нервна система повишава перисталтиката на стомаха и червата.;не;Тема 5
Под действие на нервните импулси от симпатикуса организмът повишава своята физическа активност.;да;Тема 5
Парасимпатиковата част на вегетативната нервна система ускорява сърдечната дейност и стеснява кръвоносните съдове.;не;Тема 5
Парасимпатиковата част на вегетативната нервна система разширява въздухоносните пътища в белите дробове.;не;Тема 5
Парасимпатиковата част на вегетативната нервна система засилва перисталтиката на стомаха и червата, както и усилва дейността на храносмилателните жлези.;да;Тема 5
Под действие на нервните импулси от парасимпатикуса организмът повишава своята физическа активност.;не;Тема 5
Централната част на симпатикуса и парасимпатикуса са под контрола на средния мозък.;не;Тема 5
Вегетативната нервна система не се повлиява от емоционалното състояние на човека.;не;Тема 5
Ендокринната система включва жлезите с вътрешна и външна секреция.;не;Тема 6
Съгласуваното действие на ендокринните жлези е резултат от действието на хипофизата и нервният контрол.;да;Тема 6
Хормоналната регулация е по-бавна, но с по-продължителен ефект;да;Тема 6
Хормоналната регулация е по-бърза, но с по-кратък ефект.;не;Тема 6
Повечето от хормоните на хипофизата се произвеждат от задния дял.;не;Тема 6
Антидиуретичният хормон повишава продукцията на мляко в млечните жлези.;не;Тема 6
Хормон от предния дял на хипофизата активира секрецията на хормони от щитовидната жлеза.;да;Тема 6
От задния дял на хипофизата се отделя хормона на растежа.;не;Тема 6
Основният хормон на щитовидната жлеза е родовия хормон.;не;Тема 6
Хормоните на щитовидната жлеза съдържат йод.;да;Тема 6
При недостиг на йод във водата и храната щитовидната жлеза намалява размерите си.;не;Тема 6
Основният хормон на хипофизата е тироксин.;не;Тема 6
Секрецията на по-голямо от нормалното количество тироксин предизвиква тиреотоксикоза.;да;Тема 6
Недостатъчната секреция на тироксин в напреднала възраст води до кретенизъм.;не;Тема 6
Околощитовидните жлези са свързани с обмяната на калий в организма.;не;Тема 6
Задстомашната жлеза отделя задстомашен сок и Хормони.;да;Тема 6
Основният хормон на задстомашната жлеза е инсулин.;да;Тема 6
Инсулинът участва в превръщането на гликогена в глюкоза и мазнини.;не;Тема 6
Хормоните на стреса се отделят от надбъбречните жлези.;да;Тема 6
Прогестеронът се отделя от жълтото тяло.;да;Тема 6
Естрадиолът регулира женските полови цикли.;да;Тема 6
Тестостеронът стимулира силно белтъчната синтеза.;да;Тема 6
Чрез зрението човек получава 65 % от информацията за околната среда.;не;Тема 7
Зрителната сетивна система се състои от очите, проводящи нервни пътища и сетивна зона в кората на крайния мозък.;да;Тема 7
Зрителната сетивна система се състои от очните ябълки, мускули, клепачи и слъзен апарат.;не;Тема 7
Зрителните рецепторни клетки (пръчици и колбички) са разположени в ириса.;не;Тема 7
Рецепторните клетки на зрителния анализатор се дразнят от светлинните лъчи, които постъпват в окото през стъкловидното тяло.;не;Тема 7
Светлинните лъчи, които постъпват в окото, се фокусират чрез зеницата.;не;Тема 7
Допълнителните органи на окото са мускулите, клепачите и слъзният апарат.;да;Тема 7
Външната обвивка на очната ябълка отпред е прозрачна и се нарича роговица.;да;Тема 7
Склерата е изградена от рехава съединителна тъкан, прозрачна е и има транспортна функция.;не;Тема 7
Средната обвивка на очната ябълка съдържа множество фоторецепторни клетки.;не;Тема 7
Акомодационният мускул е разположено в средната обвивка на очната ябълка.;да;Тема 7
Зеничният рефлекс представлява разнтаряване на зеницата при силна светлина, както и стесняване на зеницата при слабо осветление.;не;Тема 7
Пръчиците и колбичките са разположени в средната, светлочувствителна обвивка на очната ябълка.;не;Тема 7
Пръчиците са фоторецепторите за цветно виждане, а колбичките - за светло и тъмно.;не;Тема 7
В жълтото петно липсват колбички, като има струпване на пръчици.;не;Тема 7
Мястото, където се образува нервът в ретината, се нарича сляпо петно.;да;Тема 7
Зрителните пигменти са вещества, производни на витамин К.;не;Тема 7
Зрителният нерв провежда зрителната информация до малкия мозък.;не;Тема 7
Вътрешността на очната ябълка представлява стъкловидно тяло, което е прозрачно и пихтиесто.;да;Тема 7
Лещата на окото е разположена зад стъкловидното тяло и пред ириса.;не;Тема 7
Виждането наблизо и далеч се осъществява чрез промяна на изпъкналостта на лещата на окото /акомодация/.;да;Тема 7
Мускулите на очната ябълка са общо пет.;не;Тема 7
Сляпото петно е мястото на най-ясно виждане в ретината.;не;Тема 7
Жълтото петно е мястото в ретината, където виждането е най-неясно (най-лошо).;не;Тема 7
Вкусовата сетивност представлява процес, при който неразтворимите вещества в храната въздействат върху вкусовите рецептори.;не;Тема 8
Вкусовите рецептори се намират във вкусови луковици, разположени в брадавичките по горната повърхност на езика, както и в лигавицата на мекото небце.;да;Тема 8
Съществуват пет основни вкусови усещания - за сладко, за горчиво, за кисело, за тръпчиво и за солено.;не;Тема 8
Усещането за сладко се възприема в задната част на езика.;не;Тема 8
Усещането за горчиво се възприема на върха на езика.;не;Тема 8
Усещането за солено се възприема в задната част на езика.;не;Тема 8
Вкусовата информация се провежда от съответните нерви до малкия мозък.;не;Тема 8
Вкусовите усещания се възприемат от определена зона в кората на крайния мозък.;да;Тема 8
Обонятелната сетивност е чувствителност към нелетливи вещества, намиращи се във въздуха или храната.;не;Тема 8
Основно количество миризми навлизат от устната кухина в носната.;не;Тема 8
Човекът може да различи 4000 - 5000 различни миризми.;не;Тема 8
Мирисната информация се възприема от рецепторни клетки, които се намират в горната част на носната кухина.;да;Тема 8
Обонятелната зона в носната кухина има обширна площ.;не;Тема 8
Централният израстък на обонятелните рецепторни клетки завършва с разширение, от което излизат няколко реснички.;не;Тема 8
Центърът за възприемане на обонятелната информация се намира в междинния мозък.;не;Тема 8
Обонятелната сетивност служи за преценка на качествата на храната и за оценка на обстановката в околната среда.;да;Тема 8
Общата сетивност се разделя на повърхностна и дълбока сетивност.;не;Тема 8
Рецепторите на повърхностната сетивност са разположени само в кожата.;не;Тема 8
Общата сетивност включва способността за получаване на информация от мускулите, сухожилията и вътрешните органи.;не;Тема 8
Съществуват четири вида повърхностна сетивност - за допир, за натиск, за температура и за болка.;да;Тема 8
Усещането за. болка може да се потисне от определени центрове в мозъка.;да;Тема 8
Рецепторите за възприемане на топло и студено са едни и същи.;не;Тема 8
Рецепторите за дълбока сетивност са разположени само в мускулите.;не;Тема 8
Чрез рецепторите за вътрешна сетивност се получава информация за състоянието на кръвоносната система и вътрешните органи.;да;Тема 8
Органът на слуха се състои от четири части, като най - вътрешните три части се намират в слепоочната кост.;не;Тема 9
Външният слухов проход е с дължина 4,5 см.;не;Тема 9
Тъпанчевата мембрана е разположена на границата на средното с вътрешното ухо.;не;Тема 9
В тъпанчевата мембрана са разположени жлези, които отделят секрет, образуващ ушната кал.;не;Тема 9
Средното ухо се състои от тъпанчева мембрана, тъпанчева кухина, слуховите костици в нея и Евстахиевата тръба.;да;Тема 9
Евстахиевата тръба свързва средното с вътрешното ухо.;не;Тема 9
Слуховите костици и Евстахиевата тръба са част от вътрешното ухо.;не;Тема 9
Слуховата сетивност е от значение не само за възприемане на околната среда, но и за развитието на речта.;да;Тема 9
Слуховите костици са четири на брой и са разположени във вътрешното ухо.;не;Тема 9
Трептенията на тъпанчевата мембрана се предават на ципестия лабиринт.;не;Тема 9
Вътрешното ухо се състои от две части: вестибуларния апарат и охлюва.;да;Тема 9
Кортиевият орган е част от вестибуларният апарат.;не;Тема 9
Кортиевият орган е разположен върху основната мембрана на ципестия лабиринт в охлюва.;да;Тема 9
Слуховата информация се провежда от слуховия нерв до продълговатия мозък и оттам до подхълмието на междинния мозък.;не;Тема 9
Сетивната информация за поддържане на равновесието постъпва само от равновесната част на вътрешното ухо.;не;Тема 9
Информацията за поддържане на равновесието постъпва от вестибуларния апарат, както и от рецепторите за дълбока сетивност.;да;Тема 9
Вестибуларният апарат е съставен от три торбички и два полуокръжни канала.;не;Тема 9
Междинният мозък има особено важно значение за равновесието, защото именно до него достига информацията за равновесното положение на тялото. ;не;Тема 9
Възбуждането на сетивните клетки на органа на равновесието става при движение на течността във вестибуларния апарат.;да;Тема 9
Морската болест възниква в резултат на силно дразнене на рецепторите на слуховия анализатор.;не;Тема 9
Кожата е най-външната обвивка на човешкото тяло, която е изградена от три слоя: външен - епидермис, среден - мезодермис и вътрешен - ендодермис.;не;Тема 10
Меланинът поглъща вредните ултравиолетови лъчи от слънчевата светлина и предпазва клетките в по-дълбоките слоеве на кожата.;да;Тема 10
Най-дълбокият клетъчен слой на епидермиса е изграден от клетки, които не се делят.;не;Тема 10
Най-повърхностният слой на епидермиса е изграден от рогов слой.;да;Тема 10
Дермата съдържа голямо количество колагенови и еластични влакна, благодарение на които кожата е еластична и гъвкава.;да;Тема 10
В епидермиса на различна дълбочина се разполагат потните и мастните жлези, както и корените на космите.;не;Тема 10
Потните жлези представляват тръбички, на които единият край е навит на клъбце, разположено в дермата.;да;Тема 10
Мастните жлези имат канали, които се отварят в космената торбичка.;да;Тема 10
Клетките на потните жлези отделят секрет, който смазва космите и епидермиса и ги предпазва от засъхване и напукване.;не;Тема 10
Космите са изградени от корен в дермата и ствол, който излиза над повърхността на кожата.;да;Тема 10
Ноктите покриват крайните части на пръстите, където са струпани голям брой нервни окончания.;да;Тема 10
Сетивната функция на кожата се осъществява от рецептори за възприемане на външни дразнения - за допир, натиск, топло, студено, болка.;да;Тема 10
Терморегулаторната функция на кожата се осъществява главно чрез изпарение на вода и разширяване и стесняване на лимфните съдове в дермата.;не;Тема 10
Отделителната функция на кожата е свързана с дейността на мастните жлези - чрез мастния секрет се отделят крайни продукти на обмяната.;не;Тема 10
Акнето е заболяване на кожата, при което секрет и мъртви вроговени клетки запушват каналите на мастните жлези.;да;Тема 10
Изтъняването на озоновия слой около Земята и озоновите дупки са причината за увеличената честота на рак на кожата.;да;Тема 10
В натрупания секрет на младежките пъпки се развиват бактерии и се получават възпаления, затова е необходимо те да се изстискват.;не;Тема 10
Основна роля в осъществяването на клетъчния имунен отговор имат В-лимфоцитите.;не;Тема 11
В осъществяването на клетъчния имунен отговор основна роля изпълняват Т-килърите.;да;Тема 11
Фагоцитозата е един от основните механизми на придобития (специфичен) имунитет.;не;Тема 11
Клетките на трансплантираните органи в организма се атакуват и отстраняват от Т-цитотоксичните клетки.;да;Тема 11
Представянето на антигена е присъщо за клетките на имунната памет.;не;Тема 11
Специфичността е термин, характеризиращ естеството на възпалителната реакция, наблюдавана в мястото на проникване на антигена в организма.;не;Тема 11
Фагоцитозата, системата на комплемента и възпалението са присъщи за вродения (неспецифичен) имунитет.;да;Тема 11
В зависимост от начина на разпознаване, атакуване и обезвреждане на постъпилия в организма антиген (с помощта на антитела или с Т-цитотоксични клетки) различаваме хуморален и клетъчен имунен отговор.;да;Тема 11
В резултат на ваксинация се придобива изкуствен активен имунитет.;да;Тема 11
Клетките на имунната памет осигуряват по-бърз и ефективен имунен отговор при повторна среща с антигена.;да;Тема 11
Представянето на антигена е присъщо за клетките на имунната памет.;не;Тема 11
Слюнката, сълзите и стомашният сок, осигуряващи неблагоприятна среда за развитие на различни болестотворни причинители, се причисляват към механичните бариери на защита на организма.;не;Тема 11
Антитела, образувани след имунизация, атакуват вируса SARS-CoV-2, причиняващ COVID-19.;да;Тема 11
Т-хелперите, клетките на имунната памет, В-лимфоцитите, както и Т-килърите са активни участници в осъществяването на неспецифичния (вроден) имунитет.;не;Тема 11
Фагоцитите играят роля както в неспецифичната, така и в специфичната защита на организма.;да;Тема 11
"Представянето на антигена включва: а) процес на поглъщане на антигена чрез фагоцитоза; 6) разграждане на антигена, последвано от свързване на част от него в комплекс с цитоплазмени белтъци на макрофага; в) изнасяне на образувания комплекс на повърхността на клетъчната мембрана.";да;Тема 11
Една от най - сложните прояви на хомеостазата е имунната защита, която има за цел да запази генетичната уникалност на организма.;да;Тема 11
Мембраните на Т- и В-лимфоцитите са лишени от рецептори за разпознаване на антигена.;не;Тема 11
Функцията на антителата е да свързват и унищожават антигена.;не;Тема 11
Хуморалният и клетъчният имунен отговор се ангажират в различна степен в зависимост от природата на всеки конкретен антиген.;да;Тема 11
Рецепторите са специализирани структури - нервни клетки или нервни окончания, с по-висока чувствителност към даден вид дразнител.;да;Тема 12
По двигателните нерви информацията от рецепторите се предава към ЦНС, където се обработва и се изготвя нова информация.;не;Тема 12
Организмите изпитват непрекъснато въздействието на различни дразнители от околната среда.;да;Тема 12
Зрителната сетивност е най-старата и най-общата от сетивните системи.;не;Тема 12
При организмите с добре развита нервна система рецепторите структурно и функционално са обединени с нервната система в комплекси -сетивни системи.;да;Тема 12
Хуморалната регулация е възникнала в по-късен етап от еволюционното развитие на организмите след нервната регулация.;не;Тема 12
При соматичните рефлексни дъги изпълнителните органи са гладка и сърцева мускулатура и жлезите с вътрешна ѝ външна секреция;не;Тема 12
Рефлексната дъга, включваща рецептор, сетивен неврон, нервен център, двигателен неврон и изпълнителен орган е анатомичният път, по които се осъществява рефлексът.;да;Тема 12
Кихането и кашлянето са сложни рефлексни актове с елемент на придобито поведение на животните и човека.;не;Тема 12
Рефлексът е реакция на организма в отговор на промени във външната и вътрешната среда, която се осъществява с участието на централната нервна система и в резултат от дразнене на рецепторите.;да;Тема 12
Сънотворните и успокоителните лекарства, използвани за лечението на неврологични и психични заболявания, действат на нивото на синапсите.;да;Тема 12
Коленния рефлекс представлява двуневронна верига, състояща се от един сетивен и един двигателен неврон.;да;Тема 12
При химическите синапси предаването на нервния импулс се осъществява чрез невромедиатор.;да;Тема 12
Безусловните рефлекси се променят през целия живот на организма.;не;Тема 12
Мигане, кихане и кашляне са примери за придобити през индивидуалното развитие рефлекси.;не;Тема 12
Свиренето на музикален инструмент е сложна рефлексна дейност, която се контролира от висшата нервна дейност при човека.;да;Тема 12
Лесно променливите и типични за индивида условни рефлекси, формирани в хода на индивидуалния живот, са винаги вродени.;не;Тема 12
Адреналинът предизвиква съкращение на гладките мускули на кръвоносните съдове и отпускане на гладките мускули на стомаха и червата.;да;Тема 12
Нервния импулс се провежда до изпълнителния орган чрез по сетивни нерви.;не;Тема 12
Еволюционното развитие на нервната система се изразява в усложняване на междуневронните връзки и образуване на група неврони с обща функция.;да;Тема 12
Към химичната сетивност се отнасят вкусът и обонянието.;да;Тема 12
Храненето е процес, при който организмът приема хранителни продукти.;да;Тема 13
Хранителните вещества в организма се разграждат от химични катализатори - въглехидрати.;не;Тема 13
Въглехидратите се съдържат главно в продукти от растителен произход - пшеница, картофи и др.;да;Тема 13
Белтъците в храната са особено необходими за растежа и развитието на организма.;да;Тема 13
Големите слюнчени жлези са две - надчелюстните и подчелюстните.;не;Тема 13
Мазнините са образувани от свързването на два вида молекули - глицерол и мастни киселини.;да;Тема 13
Амилазата разгражда белтъците до пептиди.;не;Тема 13
Гълтачът е разположен зад носната кухина, зад устната кухина и под гръкляна.;не;Тема 13
Кухината на зъба с запълнена с дентин.;не;Тема 13
Пулпата съдържа нерви и кръвоносни съдове.;да;Тема 13
В детска възраст човек има само 32 зъба и те се наричат млечни зъби.;не;Тема 13
В устната кухина се отварят три чифта големи слюнчени жлези.;да;Тема 13
Подмяната на млечните зъби с постоянни приключва след 17 - 18 годишна възраст.;да;Тема 13
Хранопроводът е тръба с дължина 15 см, която минава зад трахеята, през гръдната кухина, през диафрагмата и се отваря в стомаха.;не;Тема 13
Четирите основни вида вкусови усещания, които се възприемат от вкусовите луковици на езика, са - сладко, солено, кисело и люто.;не;Тема 13
Езикът е мускулест орган, прикрепен към дъното на устната кухина.;да;Тема 13
Човешкото съзъбие си състои от - 4 резци, 8 кучешки зъба, 12 предкътника и 12 кътника.;не;Тема 13
По-твърдата храна преминава през хранопровода за няколко секунди, а течностите за 1 секунда.;да;Тема 13
19. При покой от слюнчените жлези се отделя малко слюнка - 15-20 мл.;да;Тема 13
Витамините не са източник на енергия, но са крайно необходими за нормалното протичане на жизнените процеси, тъй като са градивен материал за организма.;не;Тема 13
Лигавицата на устната кухина е осеяна с големи слюнчени жлези.;не;Тема 13
Слюнката съдържа ензима липаза, с който започва химичното смилане на въглехидратите.;не;Тема 13
На входа на стомаха се намира кръгъл мускул- сфинктер;не;Тема 14
Смилателният сок съдържа пектин- ензим, под чието действие започва разграждането на белтъците в храната.;не;Тема 14
В стомашния сок се съдържа оцетна киселина, която активира пектина, и слуз, предпазваща стомашните клетки от киселината.;не;Тема 14
Стомашната стена има силно развит слой от гладки мускули, чиито съкращения подпомагат разместването на стомашния сок с храната и улесняват действието на ензима.;да;Тема 14
Началната част на тънкото черво е с дължина около 12 напречно разположени пръста и се нарича дванадесетопръстник.;да;Тема 14
В задстомашната жлеза се изработва смилателен сок с различни ензими, с чиято помощ се извършва пълното разграждане на хранителните вещества.;да;Тема 14
Въглехидратите се разграждат от амилаза и други ензими до прости захари.;да;Тема 14
Ензимът липаза разгражда белтъците до по-малки молекули.;не;Тема 14
В клетките на черния дроб се образува жлъчен сок, който се събира в жлъчен мехур.;да;Тема 14
Жлъчният сок представлява течност, съдържаща жлъчни киселини и ензими.;не;Тема 14
По цялата дължина на тънкото черво лигавицата е силно нагъната и осеяна с малки жлезички, секретиращи пепсин.;не;Тема 14
Лигавицата на тънкото черво образува огромен брой власинки, които могат да се свиват и отпускат.;да;Тема 14
Власинките увеличават двукратно повърхността на червото, с което всмукването силно се повишава.;не;Тема 14
На изхода на тънкото черво се намира клапа, който периодично пропуска съдържанието на червото.;да;Тема 14
В средната част на дебелото черво се намира ,, сляп“ участък, който има малък израстък - апендикс.;не;Тема 14
Около ануса са разположени сфинктери, които извеждат остатъците от неусвоените вещества.;да;Тема 14
Сфинктери има в началото и края на дебелото черво.;не;Тема 14
Както секрецията на храносмилателни сокове, така й движението на стомаха и червата се регулират в зависимост от храненето.;да;Тема 14
Дебелото черво извършва перисталтични движения, които осигуряват изхвърлянето на остатъците от храна.;да;Тема 14
В дебелото черво продължава всмукването на вода и минерални соли, както и ензимното разграждане на храната.;не;Тема 14
Носът се състои от външен нос и носна кухина.;да;Тема 15
Носната кухина е покрита с ресничест епител, който се овлажнява от слузни жлези разположени по него.;да;Тема 15
При хората най-голям е щитовидния хрущял.;да;Тема 15
Най-силно е изпъкнала адамовата ябълка при жените.;не;Тема 15
Надгръклянникът се затваря при преглъщане и не навлиза храна в гръкляна.;да;Тема 15
Бронхиалното дърво се изгражда само от бронхите.;не;Тема 15
При промяна на положението на тялото трахеята се отваря и затваря.;не;Тема 15
Левият бял дроб е по-голям от десния.;не;Тема 15
Трахеята е тръба с дължина около 12 см.;да;Тема 15
Отвън белите дробове са обвити с плевра, която е еднослойна.;не;Тема 15
Отвън белите дробове са обвити с плевра, която е двуслойна.;да;Тема 15
В белите дробове навлизат белодробните вени.;не;Тема 15
Най-малките бронхиоли завършват с тънкостенни белодробни мехурчета - алвеоли.;да;Тема 15
Носната кухина е покрита с ресничест епител.;да;Тема 15
В трахеята се намира третата сливица.;не;Тема 15
От белите дробове излизат белодробните вени.;да;Тема 15
Стените на капилярите, които са от външната страна на алвеолите са изградени от двуслоен ресничест епител.;не;Тема 15
Общата дихателна повърхност на алвеолите е около 50-100 м2;да;Тема 15
Трахеята се свързва с белия дроб чрез капиляри.;не;Тема 15
Гласът се получава от трептенията на гласовите връзки, предизвикани от преминаващия при издишване въздух.;да;Тема 15
Стените на алвеолите са изградени от един слой епителни клетки.;да;Тема 15
В белите дробове влизат бронхите, белодробната артерия и нерви.;да;Тема 15
В белите дробове влизат бронхите, белодробната артерия, белодробните вени и нерви.;не;Тема 15
Трахеята е тръба с дължина около 22 см.;не;Тема 15
Носната кухина е покрита със съединителна тъкан.;не;Тема 15
Общата дихателна повърхност на алвеолите е около 500-1000 м2;не;Тема 15
Дихателната дейност се регулира по нервен път и чрез вещества, които се пренасят чрез кръвта.;да;Тема 15
Регулирането на дишането по нервен път се извършва с участието на дихателен център в мозъка.;да;Тема 15
Когато дихателния център се възбуди, той изпраща нервни импулси до междуребрените мускули и диафрагмата.;да;Тема 15
Бъбреците са чифтен орган и са разположени върху задната коремна стена.;да;Тема 16
Във вътрешността на бъбрека е разположена мастна капсула.;не;Тема 16
Капилярното клъбце е свързано с входяща артерия и изходяща вена.;не;Тема 16
В нефрона се извършва филтрация, обратно всмукване и секреция.;да;Тема 16
