"Какви функции са характерни за гръбначния мозък?
1. проводна
2. мисловна
3. вегетативна
4. рефлексна

а. само 1
б. 1 и 2
в. 2 и 3
г. 1, З и 4";г;Тема 3;
"На какво ниво завършва долният край на гръбначния мозък?
1. първи гръден прешлен
2. първи поясен прешлен
3. втори поясен прешлен
4. пети поясен прешлен

а. 1 или 2
б. само 3
в. 1 или 4
г. 2 или 4";б;Тема 3;
"Каква функция имат обвивките на централната нервна система?
1. проводна
2. рефлекторна
3. дренажна
4. защитна

а. 1 и 2
б. само 4
в. 1, 2 и 3
г. 1, З и 4";б;Тема 3;
"Кои от следните твърдения са верни за гръбначния мозък?
1. има цилиндрична форма
2. има дължина около 45 см
3. горният му край се свързва със средния мозък
4. има диаметър около 1 см

а. 1, 2 и 4
б. 1, 2 и 3
в. 1 и 2
г. З и 4";а;Тема 3;
"Структурните елементи на гръбначния мозък са:
1. сиво мозъчно вещество
2. гръбначномозъчен канал
3. гръбначномозъчни нерви
4. бяло мозъчно вещество

а. 2 и 4
б. 1, 2 и 4
в. 1, З и 4
г. 1 и 2";б;Тема 3;
"Увреждането на зрителната зона в тилния дял води до:
1. корова слепота
2. слухови халюцинации
3. невъзможност за виждане при нормално око
4. зрителни халюцинации

а. 1 и 2
б. 1 и 3
в. 2 и 3
г. всички са верни";б;Тема 4;
"Увреждането на речевите центрове на мозъка води до:
1. увреждане и на слуха
2. неспособност за разбиране на човешката реч
3. невъзможност за четене и писане
4. увреждане на зрението

а. 1, 2, 3
б. 2, 3, 4
в. 2 и 3
г. 1 и 4";в;Тема 4;
"До зоната за обща сетивност в теменния дял на мозъка достига информация:
1. от вкусовата зона
2. от зрителната зона
3. за повърхностна сетивност
4. за дълбока сетивност

а. 1 и 2
б. 1 и З
в. 2 и 4
г. З и 4";г;Тема 4;
"Дълбоката сетивност осигурява информация за:
1. свиване и разгъване на мускулите
2. за положението на крайниците и тялото в пространството
3. за телесната температура
4. за волевите движения

а. 1 и 2
б. 2 и 3
в. 1 и 3
г. З и 4";а;Тема 4;
"Блуждаещия нерв провежда импулси:
1. до скелетната мускулатура
2. до повечето вътрешни органи
3. до сърцето
4. до кожата

а. 1 и 2
б. 1 и 4
в. 2 и 3
г. З и 4";в;Тема 4;
"В сивото вещество на продълговатия мозък се намират центровете на:
1. мимическите мускули
2. кръвообращението
3. дъвкателните мускули
4. дишането

а. 1 и 2
б. 2 и 3
в. 2 и 4
г. З и 4";в;Тема 4;
"Увреждането на кои центрове в мозъка води до смърт?
1. на зрението
2. на кръвообращението
3. на равновесието
4. на дишането

а. 1 и 2
б. 1 и 3
в. 2 и 4
г. З и 4";в;Тема 4;
"До средния мозък достига и се обработва информация от:
1. зрителния орган
2. слуховия орган
3. органа на равновесието
4. половата система на мъжа и жената

а. 1 и 2
б. 2 и 3
в. 2 и 4
г. З и 4";а;Тема 4;
"Средният мозък е свързан с:
1. вкуса
2. обонянието
3. зрението
4. слуха

а. 1 и 2
б. 2 и 3
в. З и 4
г. 1 и 4";в;Тема 4;
"В средния мозък са разположени центрове свързани с:
1. двигателна дейност
2. речта
3. потискане на болката
4. интелекта

а. 1 и 2
б. 1 и 3
в. 1 и 4
г. З и 4";б;Тема 4;
"Към междинния мозък са прикачени:
1. епифизата
2. тимусът
3. хипофизата
4. стремето

а. 1 и 2
б. 1 и 3
в. 1 и 4
г. 2 и 3";б;Тема 4;
"В подхълмието се намират центровете на:
1. равновесието
2. вегетативните функции
3. някой форми на поведението
4. мускулния тонус

а. 1 и 2
б. 2 и 3
в. З и 4
г. 1 и 4";б;Тема 4;
"В подхълмието се:
1. образуват някои от хормоните на хипофизата
2. контролира образуването на хормони от щитовидната жлеза
3. контролира образуването на хормони от панкреаса
4. контролира производството на други хормони на хипофизата

а. 1 и 2
б. 1 и 3
в. 1 и 4
г. З и 4";в;Тема 4;
"От моста започват черепномозъчни нерви, които инервират:
1. отделянето на урина
2. мимическите и дъвкателните мускули
3. слюнчените жлези
4. мускулния тонус и равновесието

а. 1 и 2
б. 1 и 3
в. 2 и З
г. З и 4";в;Тема 4;
"Малкият мозък е свързан с:
1. гръбначния мозък
2. продълговатия мозък
3. средния мозък
4. междинния мозък

а. 1 и 2
б. 2 и 3
в. 1 и 4
г. всички са верни";б;Тема 4;
"До малкия мозък достига информация от:
1. вкусовите рецептори
2. ставите
3. кората на крайния мозък
4. очите

а. 1 и 2
б. 2 и 3
в З и 4
г. 1 и 4";б;Тема 4;
"Функцията на малкия мозък е свързана с:
1. работата на вътрешните органи
2. равновесието
3. поведенческите реакции
4. мускулния тонус

а. 1 и 2
б. 2 и 3
в. 2 и 4
г. всички са верни";в;Тема 4;
"Уврежданията в някои части на малкия мозък водят до:
1. проблеми с поведението
2. отслабване на мускулния тонус
3. загуба на координацията на движение
4. проблеми със сексуалната ориентация

а. 1 и 2
б. 1 и 3
в. 2 и 3
г. всички са верни";в;Тема 4;
"1. Кои органи получават импулси от вегетативната нервна система?
1. сърце
2. скелетни мускули
3. потни жлези
4. гладките мускули на космите

а. 1, 2 и 3
б. 2 ,3 и 4
в. 1 и 4
г. 1, З и 4";г;Тема 5;
"Кои от изброените функции са под контрола на вегетативната нервна система?
1. размножаване
2. храносмилане
3. аглутинация и хемолиза
4. дишане

а. 1, З и 4
б. 2 и 4
в. 1 и 4
г. 1, 2 и 4";г;Тема 5;
"Вегетативната нервна система се състои от:
1. антисимпатикус
2. симпатикус
3. субсимпатикус
4. парасимпатикус

а. 1 и 2
б. 2 и 4
в. 1, 2 и 3
г. 2, З и 4";б;Тема 5;
"Израстъците на нервните клетки, разположени в периферните възли на вегетативната нервна система достигат до органи, разположени в:
1. черепа
2. коремната кухина
3. таза
4. гръдния кош

а. 1, 2 и 3
б. 1, 3 и 4
в. 2, З и 4
г. 1 и 4";в;Тема 5;
"Централната част на парасимпатиковата нервна система се намира в:
1. три области на малкия мозък
2. четири области на мозъчния ствол
3. бялото вещество на кръстцовата част на гръбначния мозък
4. сивото вещество на кръстцовата част на гръбначния мозък

а. 1 и 3
б. 2 и 3
в. 2 и 4
г. 1 и 4";в;Тема 5;
"Симпатиковата част на вегетативната нервна система:
1. повишава кръвното налягане
2. стеснява кръвоносните съдове
3. стеснява зеницата
4. потиска перисталтиката на червата

а. 1 и 4
б. 1, 2 и 4
в. 1, З и 4
г. 2 и З";б;Тема 5;
"Симпатиковата част на вегетативната нервна система е отговорна за:
1. повишаване активността на храносмилателната система
2. повишаване на телесната температура
3. ускоряване на сърдечна дейност
4. ускоряване на дишането

а. 1, 2 и 3
б. 2 и 3
в. 1, З и 4
г. 2, З и 4";г;Тема 5;
"Парасимпатиковата част на вегетативната нервна система:
1. повишава дейността на храносмилателните жлези
2. понижава кръвното налягане
3. стеснява зеницата
4. повишава дихателната активност

а. 2 и 4
б. 1 и 4
в. 2, З и 4
г. 1, 2 и 3";г;Тема 5;
"Парасимпатиковата част на вегетативната нервна система е отговорна за:
1. забавяне на сърдечна дейност
2. понижаване на дихателната активност
3. повишаване на телесната температура
4. понижаване активността на храносмилателната система

а. 1 и 3
б. 1 и 2
в. 2 и 3
г. 2 и 4";б;Тема 5;
"Симпатикусът и парасимпатикусът контролират:
1. изпразване на правото черво
2. изпразване на пикочен мехур
3. емоционалното състояние на човека
4. половата функция

а. 1, З и 4
б. 1 и 4
в. З и 4
г. 1, 2 и 4";г;Тема 5;
"Под действие на симпатиковите импулси:
1. се запазва енергията на организма
2. организмът повишава физическата си активност
3. организмът се мобилизира
4. организмът се успокоява

а. 1 и 2
б. 1 и 4
в. 2 и 3
г. 2 и 4";в;Тема 5;
"Кои от дейностите се контролират от вегетативната нервна система?
1. изправяне на космите (настръхване)
2. емоционалното състояние на индивида
3. зачервяване на лицето
4. пребледняване на лицето

а. 2 и 3
б. 1 и 2
в. 1, 2 и 3
г. 1, З и 4";г;Тема 5;
"Хормоналната регулация е:
1. по-бавна от нервната регулация
2. по-бърза от нервната регулация
3. с по-траен ефект от нервната регулация
4. с по-кратък ефект от нервната регулация

а. 1 и 2
б. 2 и 3
в. 1 и З
г. З и 4";в;Тема 6;
"Околощитовидните жлези отделят хормон, който:
1. повишава съдържанието на калций в кръвта
2. понижава съдържанието на калций в кръвта
3. понижава съдържанието на калций в костите
4. повишава съдържанието на калций в костите

а. 1 и 2
б. 1 и 3
в. само 1
г. 2 и 3";б;Тема 6;
"Хормони, отделяни от предния дял на хипофизата:
1. намаляват секрецията на хормони от щитовидната жлеза
2. намаляват секрецията на хормони от кората на надбъбречните жлези
3. повишават продукцията на мляко в млечните жлези
4. стимулират растежа на костите

а. 1 и З
б. 2 и 3
в. 4
г. З и 4";г;Тема 6;
"Кои от посочените хормони се отделят от задния дял на хипофизата?
1. антидиуретичен хормон
2. родов хормон
3. хормон на растежа
4. хормон, активиращ секрецията на мляко в млечните жлези

а. 1 и 2
б. 1 и 3
в. 2 и 3
г. 1 и 4";а;Тема 6;
"От щитовидната жлеза се отделя хормон, който:
1. понижава съдържанието на калций в кръвта
2. повишава съдържанието на калций в кръвта
3. стимулира образуването на костите
4. понижава съдържанието на калций в костите

а. 1 и 2
б. 1 и 3
в. 2 и 3
г. З и 4";б;Тема 6;
"Кои от посочените симптоми са характерни за заболяването тиреотоксикоза?
1. повишена нервна възбуда
2. повишено телесно тегло
3. изпъкване на очните ябълки
4. повишена полова активност

а. 1 и 2
б. 1 и 4
в. 1 и 3
г. 2 и 3";в;Тема 6;
"Акромегалията се дължи на:
1. повишена секреция на хормона на растежа в напреднала възраст
2. повишена секреция на хормона на растежа в детска възраст
3. намалена секреция на тироксин
4. доброкачествено туморно увеличаване на предния дял на хипофизата

а. 1 и 2
б. 2 и 3
в. 1 и З
г. 1 и 4";г;Тема 6;
"Профилактиката на заболяването кретенизъм включва:
1. прием на богата на йод храна
2. увеличен прием на въглехидрати
3. увеличен прием на млечни храни
4. прием на йодирана готварска сол

а. 1 и 2
б. 2 и 3
в. 1 и 4
г. всички са верни";в;Тема 6;
"Кои от следните хормони се отделят от предния дял на хипофизата?
1. хормон на растежа
2. антидиуретичен хормон
3. родов хормон
4. хормон, активиращ дейността на половите жлези

а. 1 и 2
б. 1 и 3
в. 1 и 4
г. всички са верни";в;Тема 6;
"Усложненията при захарен диабет са свързани с:
1. увреждане на бъбреците
2. увреждане на слуха
3. увреждане на зрението
4. увреждане на кожата

а. 1 и 2
б. 1 и 3
в. З и 4
г. всички са верни";б;Тема 6;
"Хормонът инсулин превръща:
1. глюкозата в гликоген
2. глюкозата в мазнини
3. гликогена в глюкоза
4. скорбялата в глюкоза

а. 1
б. 1 и 2
в. 2 и 3
г. З и 4";б;Тема 6;
"Признаци на стрес са:
1. учестено дишане
2. увредено зрение
3. сърцебиене
4. увреден слух

а. 1 и 2
б. З и 4
в. 1 и 3
г. 1 и 4";в;Тема 6;
"При повишено съдържание на адреналин в кръвта се:
1. повишава сърдечната дейност
2. повишава съдържанието на глюкоза в кръвта
3. ускорява дишането
4. намалява притока на кръв към храносмилателната система

а. 1 и 2
б. 2 и 3
в. З и 4
г. всички са верни";г;Тема 6;
"Естрадиолът:
1. стимулира развитието и функциите на половите жлези при жените
2. стимулира формирането на по-нисък тембър на гласа
3. регулира половите цикли у жената
4. се секретира от жълтото тяло

а. 1 и 2
б. 1 и 3
в. 1, 2 ,3
г. всички са верни";б;Тема 6;
"Хормоните на кората на надбъбречните жлези влияят върху:
1. обмяната на минерални соли и белтъците
2. обмяната на нуклеиновите киселини
3. обмяната на вода
4. обмяната на мазнините и въглехидратите

а. 1 и 2
б. 2 и 3
в. 1 и 4
г. З и 4";в;Тема 6;
"Кои от изброените хормони поддържат нормално нивото на глюкоза в кръвта?
1. тироксин
2. инсулин
3. тимозин
4. глюкагон

а. 1 и 2
б. 2 и 3
в. 2 и 4
г. З и 4";в;Тема 6;
"Кои от посочените са вторични мъжки полови белези?
1. по-ниският тембър на гласа
2. по-малката мускулна маса
3. по-силното окосмяване по гърдите, лицето, крайниците и др.
4. понижената секреция на тестостерон

а. 1 и 2
б. 2 и 3
в. 1 и 3
г. 2 и 4";в;Тема 6;
"Кои от изброените са женски полови хормони?
1. естрадиол
2. тестостерон
3. прогестерон
4. тироксин

а. 1 и 2
б. 1 и З
в. 1 и 4
г. 2 и 3";б;Тема 6;
"Ендокринните жлези действат съгласувано благодарение на:
1. действието на епифизата
2. действието на сърдечно-съдовата система
3. регулиращото действие на хипофизните хормони
4. нервния контрол

а. 1 и 3
б. 1 и 4
в. 2 и 4
г. З и 4";г;Тема 6;
"Хормоните на щитовидната жлеза стимулират:
1. лактацията
2. обмяната на веществата
3. развитието
4. оплождането

а. 1 и 2
б. 2 и 3
в. 1 и 3
г. 2 и 4";б;Тема 6;
"При силна възбуда се отделя голямо количество адреналин, който предизвиква:
1. повишен приток на кръв към храносмилателната система
2. учестена сърдечната дейност
3. повишаване на съдържанието на глюкоза в кръвта
4. повишен приток на кръв към кожата

а. 1 и 2
б. 1 и 3
в. 2 и 3
г. З и 4";в;Тема 6;
"В състава на всеки анализатор влизат:
1. координираща част
2. периферна част
3. корова част
4. проводна част

а. 1 и 2
б. 1, 2 и 3
в. 2, З и 4
г. 1, З и 4";в;Тема 7;
"Чрез зрителния анализатор се възприема(т):
1. движения
2. форми
3. цветове
4. механични вълни

а. 1 и 4
б. 1, 2 и 3
в. 1, З и 4
г. 2 и 3";б;Тема 7;
"В състава на зрителната сетивна система влизат:
1. рецепторни клетки, предаващи импулси по зрителния нерв
2. слепоочния дял от кората на крайния мозък
3. зрителния нерв и част от кората на малкия мозък
4. тилния дял от кората на крайния мозък

а. 1 и 2
б. 1 и З
в. 1 и 4
г. З и 4";в;Тема 7;
"В изграждането на окото участват:
1. очна ябълка, снабдена с вътреочни и околоочни мускули
2. орбитална очница
3. клепачи
4. слъзен апарат

а. 1, 2 и 4
б. 2 ,З и 4
в. 1, 3 и 4
г. 1, 2 и 3";в;Тема 7;
"В състава на очната ябълка се включват:
1. леща
2. стъкловидно тяло
3. три обвивки
4. две обвивки

а. 1, 2 и 4
б. 1, 2 и 3
в. 1 и 2
г. 2 и 3";б;Тема 7;
"Кое от следните твърдения за склерата е вярно?
1. тя е непрозрачна
2. изпълнява защитна роля
3. изградена е от плътна съединителна тъкан
4. нарича се роговица

а. 1, 2 и 3
б. 2, З и 4
в. 2 и 4
г. 1 и 4";а;Тема 7;
"Към средната обвивка на окото се отнасят:
1. ириса с разположената в центъра му зеница
2. кръвоносни съдове и пигментни клетки
3. прозрачната част от склерата
4. мускулите на зеницата

а. 1 и 2
б. 2 и 4
в. 2, З и 4
г. 1, 2 и 4";г;Тема 7;
"Характеризирайте ретината:
1. в нея се намират пръчиците и колбичките
2. ретината с външната, светлочувствителна обвивка на очната ябълка
3. в нея се разполагат сляпото петно и жълтото петно
4. тя е вътрешната, светлочувствителна обвивка на очната ябълка

а. 1 и 2
б. 1, 2 и 3
в. 1, З и 4
г. 1 и 4";в;Тема 7;
"В жълтото петно:
1. липсват колбички
2. липсват пръчици
3. се наблюдава струпване на колбички
4. се наблюдава струпване на пръчици

а. 1 и 4
б. 1 и 2
в. З и 4
г. 2 и 3";г;Тема 7;
"Сляпото петно:
1. е мястото на най-ясното виждане
2. е мястото, в което се образува зрителния нерв
3. не съдържа колбички
4. не съдържа пръчици

а. 1, 2 и 4
б. 1, 2 и 3
в. 2 и 4
г. 2, З и 4";г;Тема 7;
"Зрителни пигменти се намират в:
1. сляпото петно
2. ириса
3. пръчиците
4. колбичките

а. 1 и 2
б. 1 и 3
в. З и 4
г. 1, З и 4";в;Тема 7;
"Нервни импулси, възникващи в резултат на светлинно дразнене се провеждат до:
1. средния мозък
2. междинния мозък
3. продълговатия мозък
4. кората на крайния мозък

а. 1 и 4
б. 2 и 4
в. З и 4
г. 1, З и 4";б;Тема 7;
"Лещата на окото е разположена:
1. зад стъкловидното тяло
2 пред стъкловидното тяло
3. пред ириса
4. зад ириса

а. 1 и 3
б. 1 и 4
в. 2 и 4
г. 3";в;Тема 7;
"Посочете верните твърдения за лещата:
1. двойноизпъкнала
2. двойновдлъбната
3. фокусира светлинните лъчи върху жълтото петно на зеницата
4. фокусира светлинните лъчи върху ретината

а. 1 и 3
б. 2 и 3
в. 1 и 4
г. 2 и 4";в;Тема 7;
"Конюнктива има по:
1. ръбовете на клепачите
2. вътрешната повърхност на клепачите
3. повърхността на цялата склера
4. видимата част на склерата

а. 1 и 3
б. 2 и 4
в. 2 и 3
г. 4";б;Тема 7;
"Вкусовите рецептори са разположени във вкусови луковици, които се намират в:
1. брадавичките по горната повърхност на езика
2. лигавицата на мекото небце
3. по ръбовете на езика
4. долната част на гълтача

а. 1, 3 и 4
б. 1, 2 и 3
в. 2 и 3
г. 1 и 2";б;Тема 8;
"Кои са основните вкусови усещания?
1. за сладко
2. за солено
3. за кисело
4. за горчиво

а. 1 и 2
б. 2 и 3
в. 1, 3 и 4
г. 1, 2, З и 4";г;Тема 8;
"Информацията, постъпваща от вкусовите рецептори се обработва и възприема от:
1. мозъчната кора
2. мозъчния ствол
3. малкия мозък
4. междинния мозък

а. 1, 2 и 3
б. 1, 3 и 4
в. 1, 2 и 4
г. 1 и 2";в;Тема 8;
"Обонятелната сетивност е чувствителност към:
1. нелетливи вещества
2. летливи вещества
3. неразтворими вещества
4. разтворими вещества

а. 1 и 3
б. 1 и 4
в. 2 и 3
г. 2 и 4";г;Тема 8;
"Мирисните вещества във въздуха постъпват:
1. в носната кухина при издишване
2. в носната кухина при вдишване
3. от рецепторите в езика
4. от устната кухина

а. 1,3 и 4
б. 2 и 3
в. 2 и 4
г. 1, 2 и 4";в;Тема 8;
"Обонятелните рецепторни клетки притежават:
1. субпериферен израстък
2. периферен израстък
3. централен израстък
4. псевдоподи и камшичета

а. 1 и 2
б. 2 и 3
в. 1 и 3
г. 4";б;Тема 8;
"Обонянието служи за:
1. оценка на психо-социалните взаимоотношения
2. по-пълноценно ориентиране и оценяване на обстановката в околната среда
3. оценка на емоционалната атмосфера в колектива
4. характеризиране качествата на поеманата храна

а. 2, З и 4
б. З и 4
в. 2 и 4
г. 4";в;Тема 8;
"Общата сетивност включва:
1. сетивността от вътрешните органи
2. повърхностната сетивност
3. дълбоката сетивност
4. сетивността от кръвоносната система

а. 1 и 2
б. 2 и 3
в. 1, 2 и 3
г. 1, 2, З и 4";г;Тема 8;
"Рецепторите за повърхностната сетивност се намират в:
1. кожата
2. ноктите
3. някои лигавици
4. космите

а. 1 и 2
б. 2 и 3
в. 1 и 3
г. 1, З и 4";в;Тема 8;
"Повърхностната сетивност може да бъде за:
1. допир и температура
2. вибрация и налягане
3. натиск и болка
4. натиск и разтягане

а. 1 и 2
б. 2 и 4
в. 1 и 3
г. 1, 2, З и 4";в;Тема 8;
"Дразнителите за болковите рецептори могат да бъдат:
1. топлинни
2. механични
3. звукови
4. химични

а. 1 и 4
б. 1, 2 и 4
в. 2, З и 4
г. 2 и 4";б;Тема 8;
"Чрез рецепторите за дълбока сетивност постъпва информация за:
1. движението на тялото и крайниците
2. перисталтиката на стомаха и червата.
3. положението на тялото
4. положението на крайниците

а. З и 4
б. 1, 2 и 4
в. 1, З и 4
г. 1, 2 и 3";в;Тема 8;
"Рецепторите за дълбока сетивност са разположени в:
1. ставите
2. мускулите
3. вътрешните органи
4. сухожилията

а. 1 и 2
б. 1, 2 и 4
в. 1, 2 и 3
г. 1 и 4";б;Тема 8;
"Звукът се формира от:
1. радиовълни с голяма честота
2. механични трептения
3. рентгенови и у-лъчи с различна амплитуда
4. вълни, разпространяващи се в материални среди (газове, течности и твърди тела)

а. 1, З и 4
б. 1, 2 и 3
в. 2 и 4
г. 1, 4";в;Тема 9;
"Слуховите възприятия са от значение за:
1. по-пълноценното възприемане на околната среда и адаптирането в нея
2. вегетативната адаптация на индивида
3. формирането на нормалния имунен статус на индивида
4. развитието на речевите способности на индивида

а. 1, З и 4
б. З и 4
в. 1, 2 и 4
г. 1 и 4";г;Тема 9;
"В слепоочната кост се намират:
1. външното ухо
2. средното ухо
3. вътрешното ухо
4. нито едно от гореизброените

а. 1 и 2
б. 1, 2 и 3
в. 2 и 3
г. 4";в;Тема 9;
"Частите на външното ухо са:
1. лабиринт
2. ушна мида
3. вътрешен слухов проход
4. външен слухов проход

а. 2 и 3
б. 2 и 4
в. 1, 2 и 3
г. 1, 2 и 4";б;Тема 9;
"В състава на средното ухо влизат:
1. Евстахиева тръба
2. тъпанчева мембрана
3. слухови костици
4. междукамерна мембрана

а. 1 и 3
б. 1, З и 4
в. 1, 2 и 3
г. 1, 2, З и 4";в;Тема 9;
"Кои от следните са слуховите костици?
1. стреме
2. подкова
3. чукче
4. наковалня

а. 1, 2 и 3
б. 2, З и 4
в. 1, З и 4
г. 1 и 2";в;Тема 9;
"Частите на вътрешното ухо са:
1. Евстахиева тръба
2. органа на равновесието
3. слуховите костици
4. охлюв

а. З и 4
б. 1, 2 и 4
в. 1, 2 и 3
г. 2 и 4";г;Тема 9;
"Ципестият лабиринт:
1. се намира в средното ухо
2. е разположен във вътрешното ухо
3. запълва костния лабиринт
4. включва в себе си т. нар. Кортиев орган

а. 1 и 4
б. 2, 3 и 4
в. 2 и 3
г. З и 4";б;Тема 9;
