Когато постъпилата в организма вода е в излишък, част от нея бързо се отделя чрез _ и потните _ на кожата.;бъбреците, жлези
При терморегулацията, когато телесната температура се повиши (или понижи), рецепторите в кожата усещат промяната и активират команда от _ в главния мозък за намаляване (или повишаване) на _ температура.;хипоталамуса, телесната
Хипофизата е под контрола на хипоталамусните хормони, които _ и _ нейната секреция.;стимулират, потискат
Витамин D се извлича от млечни продукти и _ или се синтезира в кожата _ облъчване.;риба, ултравиолетово
Нервната и хуморалната регулация са изградени и функционират на основата на _ принцип и на принципа на _ връзка.;йерархична, обратната
Секрецията на инсулин от панкреаса се _, когато се увеличи глюкозата в кръвта и _ при нейното понижаване.;усилва, намалява
От ЦНС към скелетните мускули достигат _ импулси, които предизвикват _ на мускула.;нервни, съкращаване
Обратната връзка е механизъм, чрез който в една биосистема се предава сигнал от _ към нейния _;изхода, вход
_ нервна система осъществява връзка с околната среда чрез сетивните системи и двигателния апарат _ нервна система получава информация от вътрешните органи, кръвоносните съдове и сърцето и тяхното действие.;соматичната, вегетативната
В зависимост от местоположението нервната система се дели на _ и _;централна, периферна
Централната нервна система се състои от _ мозък и _ мозък.;главен, гръбначен
Главният мозък се намира в _, а гръбначният - в канала на _;черепа, гръбначния стълб
Периферната нервна система се изградена от нерви,  _ и _ Тя свързва двупосочно централната нервна система с периферните органи.;нервни възли, сплетения
Периферната нервна система с изградена от _ нервните възли и сплетенията. Тя провежда _ до централната нервна система и до периферните органи.;нервите, импулси
При напречен срез на гръбначния мозък се вижда, че е изграден от централно разположено _ вещество с формата на буквата Н, което е обградено с _ вещество.;сиво, бяло
Периферно разположеното бяло вещество на гръбначния мозък е изградено от _ на нервни клетки, намиращи се в _ вещество на гръбначния и главния мозък.;аксони, сивото
От двете страни на гръбначния мозък се намират гръбначномозъчни нервни _ В тях са разположени _ неврони с особен строеж.;възли, сетивни
От гръбначния мозък излизат _ чифта гръбначномозъчни нерви. Тези нерви провеждат нервни импулси до _ и мускулите на шията, туловището и крайниците.;31, кожата
Веригата от _ сетивен неврон, нервен център, _ неврон и самия мускул се нарича рефлексна дъга.;рецептор, двигателен
При опарване или убождане нервните импулси се провеждат от рецептора по сетивния неврон _ мозък, където _ се предава на двигателния неврон.;гръбначния, възбуждането
В _ мозък е представена част от вегетативната нервна система, осъществяваща неговата вегетативна функция, която е свързана с _ органи.;гръбначния, вътрешните
При всички рефлекси нервните импулси, възникнали в _ се провеждат по верига от неврони и достигат до мускули (или _), като предизвикват съкращение (или секреция) - рефлексна дъга.;рецепторите, жлези
Крайният мозък се състои от две полукълба, свързани помежду си със снопове _ мозъчно вещество. Така двете полукълба могат да _ заедно.;бяло, функционират
В основата на крайния мозък в бялото мозъчно вещество се намират струпвания от _ мозъчно вещество, свързани с _ дейност.;сиво, двигателната
Безусловните рефлекси са вродени и техните рефлексни дъги се намират на нивото на _ и _;гръбначния мозък, мозъчния ствол
В _ част на челния дял пред централната бразда се намира _ зона.;задната, двигателна
Зад двигателната зона в предната част на _ дял е зоната за _ сетивност.;теменния, обща
Чрез повърхностната сетивност се възприема допир,  _, натиск, _;болка, температура
В _ дял е зрителната зона. При увреждането ѝ настъпва _слепота.;тилния, корова
В слепоочния ляп се намира _ зона, а в съседство на нея е разположена _ зона.;слуховата, равновесната
Лявото полукълбо е свързано с _ възможности и абстрактно мислене, а дясното е свързано с _ и художествени способности.;математически, музикални
Главният мозък е изграден от _ мозък, междинен мозък, _ мозък и мозъчен ствол.;краен, малък
Мозъчният ствол се образува от _, _ мозък и мост.;продълговат, среден
Продълговатият мозък е продължение на _ мозък. От него излиза и _ нерв, който провежда импулси до вътрешни органи и сърцето.;гръбначен, блуждаещ
В моста достига и се обработва информация от _ и _ в областта на главата.;сетивността, мускулите
Средният мозък е свързан със _ и _;зрението, слуха
Хълмовете на междинния мозък са изградени от _ мозъчно вещество. До тях достига информация от всички _ системи.;сиво, сетивни
В подхълмието се обединяват функции от _, вегетативен и _ характер.;сетивен, хормонален
Нервните клетки са особено чувствителни към липсата на _ Прекъсването на кръвния ток към мозъка за повече от 5 минути води до _ на множество нервни клетки.;кислород, смърт
Вегетативната нервна система инервира всички вътрешни _, жлезите, _ и кръвоносните съдове.;органи, сърцето
Дейността на вегетативната нервна система не е под _ контрол, затова тя се нарича и _ нервна система. Тази система функционира до голяма степен самостоятелно.;волев, автономна
Някои функции на вегетативната нервна система могат да се повлияват от човешкото _ състояние и _ Например при изживяване на страх, гняв, радост и др. може да настъпи сърцебиене, изпотяване, зачервяване, побледняване, изправяне на космите, сухота в устатата и др.;емоционално, воля
Вегетативната нервна система се състои от две части: _ и _, които се различават по структура и функция.;симпатикус, парасимпатикус
Двете части на _ нервна система обикновено имат _ действие.;вегетативната, противоположно
Симпатиковата и парасимпатиковата вегетативна нервна система имат _ част и _ част.;централна, периферна
В централната част на вегетативната нервна система са разположени нервни клетки, чиито аксони достигат до нервни възли в шията, _, коремната кухина и _;гръдния кош, таза
Централната симпатикова част се намира в сивото вещество на _ част на гръбначния мозък, а централната парасимпатикова - в четири области на мозъчния _ и в сивото вещество на кръстцовата част на гръбначния мозък.;гръдната, ствол
Симпатиковата част на вегетативната нервна система _ сърдечната дейност, повишава кръвното налягане и _ зеницата.;ускорява, разширява
Симпатиковата част на вегетативната нервна система _ кръвоносните съдове и _ перисталтиката на червата.;стеснява, понижава
Симпатиковата част на вегетативната нервна система _ въздухоносните пътища в белите дробове _секрецията на храносмилателни сокове.;разширява, намалява
Под действие на симпатиковите импулси организмът _ своята физическа активност, за да преодолее някакви критични състояния. Израз на това е ускорената сърдечна дейност и _ дишане.;повишава, усилено
Парасимпатиковата част на вегетативната нервна система _ сърдечната дейност и _ кръвното налягане.;забавя, понижава
Парасимпатиковата част на вегетативната нервна система _ секрецията на храносмилателни сокове и _ зеницата.;усилва, стеснява
Парасимпатиковата част на вегетативната нервна система _ кръвното налягане, _ перисталтиката на червата.;понижава, засилва
Парасимпатиковите импулси позволяват на организма да _ своята активност, да се успокои и да _ енергия.;понижи, запази
Централната симпатикова и парасимпатикова част са под висшия контрол на _ на _ мозък.;подхълмието, междинния
Ендокринната система е съставена от жлези с _ секреция. Секретът, който те произвеждат съдържа вещества наречени _, които се отделят направо в кръвта.;вътрешна, хормони
Жлезите с вътрешна секреция действат съгласувано благодарение на _ контрол и обединяващото действие на _;нервния, хипофизата
Хормоналната регулация е по-бавна от нервната, но с по - _ и _ ефект.;продължителен, траен
Хипофизата е разположена под _ мозък. Повечето хормони на хипофизата се произвеждат от _ дял.;междинния, предния
Два от хормоните на предния дял на хипофизата активират дейността на _ жлези и повишават секрецията на _ хормони.;половите, полови
От _ дял на хипофизата се отделя и хормона на растежа, който стимулира растежа на _ и човешкото тяло.;предния, костите
Задният дял на хипофизата отделя два хормона. Единият се нарича _ хормон, а другият _;родов, антидиуретичен
Щитовидната жлеза е разположена около началото на _ и под _;трахеята, гръкляна
Хормоните на щитовидната жлеза съдържат елемента _ Ако този елемент не се съдържа в достатъчно количество във водата и храната, щитовидната жлеза се разраства и причинява така наречената _;йод, гуша
Основният хормон на щитовидната жлеза се нарича _ Недостатъчната му секреция в детска възраст води до развитие на заболяването _;тироксин, кретенизъм
Повишената секреция на хормона на растежа, отделян от _ в напреднала възраст, води до заболяването _;хипофизата, акромегалия
Околощитовидните жлези са разположени по _ повърхност на щитовидната жлеза. Те отделят хормон, който повишава съдържанието на калций в кръвта, но понижава съдържанието на калций в _;задната, костите
Задстомашната жлеза отделя хормоните _ и _;глюкагон, инсулин
Хормонът инсулин _ съдържанието на глюкоза в кръвта, а хормона глюкагон има _ действие.;понижава, противоположно
Хормоните на кората на надбъбречните жлези влияят върху обмяната на минерални соли, _, _ и въглехидрати в организма.;белтъци, мазнини
Хормонът на сърцевината на надбъбречните жлези се нарича _ Той е хормон на _;адреналин, стреса
Женските полови хормони са естрогени (естрадиол) и _, а основния мъжки полов хормон е _;прогестерон, тестостерон
Прогестеронът се отделя от _ и има важно значение за протичане на бременността. Прогестеронът, заедно с _ участва в регулирането на женските полови цикли.;жълтото тяло, естрадиола
Активната дейност на половите жлези предизвиква настъпване на _ стихването на дейността им се означава като _ ;пубертет, климакс
Климаксът се характеризира с ускоряване на процеса на стареене, липса на _ и _ на костите.;менструация, чувствителност
Способността на организма да възприема различни видове дразнения се нарича _ и се обуславя от различни _ системи.;сетивност, сетивни
Информацията, която се получава от съответните рецепторни клетки, се провежда по сетивните _ нервни пътища в централната нервна система. Там информацията се преработва, _ и осъзнава.;проводни, анализира
Сетивните системи се разделят на: система на _ сетивност и система за _ сетивност.;обща, специализирана
Всяка сетивна система е съставена от: _ част - рецепторни клетки, проводна част - нервни пътища, и _ част - сетивна зона в кората на крайния мозък.;периферна, корова/централна
Зрението е _ най-важното за човека. С него се осъзнава _ % от сетивната информация. ;сетиво, 85%
Със зрителната система се възприема светлината, разпознават се _ на предметите и живите организми, определя се движението им, различават се _;формите, цветовете
Със зрителната система се възприема _, разпознават се формите на предметите и живите организми, определя се _ им, различават се цветовете.;светлината, движението
Зрителната сетивна система се състои от зрителния орган, зрителния _ и частите на мозъка, до които достига и се обработва зрителната информация. Окото е изградено от очна ябълка и _ органи.;нерв, допълнителни
Външната обвивка на очната ябълка отпред е прозрачна и се нарича _, а останалата част - _;роговица, склера
Средната обвивка на очната ябълка съдържа множество кръвоносни съдове и _ клетки. В предната ѝ част са разположени ирисът и специални _ мускули.;пигменти, гладки
Средната обвивка на очната ябълка съдържа множество _ съдове и пигментни клетки. В предната й част са разположени _ и специални гладки мускули.;кръвоносни, ирисът
В централната част на ириса има отвор, наречен _, през която преминават светлинните лъчи. При силна светлина тя се стеснява, а при по-слабо осветление се разширява. Това се нарича _ рефлекс.;зеница, зеничен
Ретината е вътрешната, светлочувствителна обвивка на очната ябълка, В нея се намират фоторецептори: _ - за светло и тъмно, и _ - за цветно виждане.;пръчици, колбички
В централната част на ретината липсват _ там има струпване на _ и мястото се нарича жълто петно.;пръчици, колбички
Там където се образува _ в ретината, липсват пръчици и колбички. Това място се нарича _ петно.;нервът, сляпо
Зрителните пигменти са вещества, производни на витамин _ Липсата на това вещество води до намаляване на зрението и дори до _;А, слепота
Зрителният нерв провежда зрителната информация до _ мозък. Намиращите се там неврони предават тази информация до зрителната зона на кората на _ мозък и така се възприема образът.;междинния, крайния
Лещата е прикрепена към специален мускул. С негова помощ тя променя своята _ Така с промяна на нейната форма - _, човек може да вижда наблизо и далеч.;изпъкналост, акомодация
Допълнителните органи на окото са _ на очната ябълка, които са шест на брой, клепачите и _ апарат.;мускулите, слъзния
Слъзният апарат включва слъзната жлеза и _ канал. Секретът на слъзната жлеза предпазва _ от изсъхване и отмива прашинки и микроорганизми.;носовослъзния, роговицата
Вкусовата сетивност представлява процес, при който _ вещества в храната въздействат върху _ вкусови клетки.;разтворените, сетивните
Вкусовите рецептори са разположени във вкусови _, намиращи се предимно в брадавичките на горната повърхност на езика, както и по _ на езика.;луковици, ръбовете
Съществуват четири основни вкусови усещания - за сладко, за _, за солено и за _;горчиво, кисело
Четирите основни вкусови усещания са разпределени в различни зони на езика. За сладко - _ на езика, за кисело и солено - ръбовете, за горчиво - _ на езика.;върха, задната част
Вкусовата информация се провежда от съответните нерви до  _ мозък и до мозъчната _, където тя се възприема като вкусови усещания.;междинния, кора
Обонятелната сетивност е чувствителност към _  и _ вещества, намиращи се във въздуха и храната.;летливи, разтворени
Мирисните вещества във въздуха постъпват в носната кухина при _, като малка част от тях постъпват и от _;вдишване, устната кухина
Човек може да различи 2000 различни _ Обонятелната зона в носната кухина е с площ _ см2.;миризми, 5-8
Обонятелните рецепторни клетки са видоизменени _ клетки, които имат периферен и централен израстък. Периферният израстък завършва с разширение, от което излизат _;нерви, реснички
Мирисните вещества се възприемат, след като се свържат с клетъчната _ на обонятелните рецепторни клетки. Възникналите ог дразненето нервни импулси се провеждат до _ мозък, където се възприема обонятелната информация.;мембрана, крайния
Обонятелната сетивност има значение за преценка на _ на храната, както и за оценка на обстановката в _;качествата, околната среда
Общата сетивност представлява способността за получаване на информация от кожата, _ мускулите, _ и вътрешните органи.;ставите, сухожилията
Общата сетивност представлява способността за получаване на информация от _, ставите, _, сухожилията и вътрешните органи.;кожата, мускулите
Рецепторите на повърхностна сетивност са разположени в кожата и в някои _ Повърхностната сетивност осъществява връзката между организма и _;лигавици, околната среда
Повърхностната сетивност бива: за допир, за _, за натиск и за _;болка, температура
Повърхностната сетивност бива: за _, за болка, за _ и за температура.;допир, натиск
Усещането за болка се възприема от _ рецептори. Дразнителят може да бъде химичен, топлинен или _;болковите, механичен
Положението и движението на тялото и крайниците се възприема от рецепторите за _ сетивност. Те са разположени в ставите, сухожилията и _ ;дълбока, мускулите
Рецепторите на вътрешната сетивност са разположени във вътрешните органи и  _ система. Чрез тях се получава информация за тяхното _;кръвоносната, състояние
Ухото се състои от _ части. Средното и вътрешното ухо се намират в _ кост.;три, слепоочната
Ушната мида с образувана от еластичен _ Външното ухо събира звуковите вълни и ги провежда до _ мембрана.;хрущял, тъпанчевата
Тъпанчевата мембрана с разположена на границата на _ със _  ухо.;външното, средното
Средното ухо се състои от тъпанчева мембрана, тъпанчева кухина, _ костици и _ тръба.;слухови, Евстахиева
Евстахиевата тръба свързва гълтача с _ кухина. Затова възпаление на гълтача лесно може да премине в _ ухо.;тъпанчевата, средното
_ тръба свързва гълтача с тъпанчевата кухина. Затова възпаление на гълтача лесно може да премине в _ ухо.;Евстахиевата, средното
Слуховите костици са чукче, _ и стреме. Трептенията на тъпанчевата мембрана се предават на свързаното с нея _;наковалня, чукче
Слуховите костици са _, наковалня и _;чукче, стреме
Вътрешното ухо се състои от две части: охлюв и _ апарат. Във вътрешността на охлюва се намира _ лабиринт, изпълнен с течност.;вестибуларен, ципест
Кортиевият орган е разположен върху основната мембрана на една от стените на _ лабиринт. В него се намират слухови сетивни клетки, които са свързани с влакната на слуховия _;ципестия, нерв
_ орган е разположен върху основната мембрана на една от стените на ципестия лабиринт. В него се намират слухови сетивни клетки, които са свързани с влакната на _ нерв.;Кортиевият, слуховия
Слуховите костици предават трептенията си на течността в _, а тя ги предава на основната мембрана на ципестия канал. Разположените върху нея сетивни клетки се допират до _ мембрана и в тях възникват импулси.;охлюва, покривната
Основната сетивна информация за равновесието идва от _ апарат и от рецепторите за дълбока сетивност, разположени в мускулите, сухожилията и _;вестибуларния, ставите
Вестибуларният апарат представлява част от _ ухо, която е изградена от две _ и три полуокръжни канала, разположени в трите основни равнини на пространството.;вътрешното, торбички
_ апарат представлява част от вътрешното ухо, която е изградена от две торбички и три _ канала, разположени в трите основни равнини на пространството.;Вестибуларният, полуокръжни
Особено важно значение за равновесието има _ мозък, защото до него достига информацията от равновесния нерв. Морското вълнение при пътуване с кораб може да доведе до силно _ На вестибуларния апарат.;малкия, дразнене
Кожата е най-външната обвивка на човека. Тя е изградена от два слоя: външен - _ и вътрешен - _;епидермис, дерма
Епидермисът е изграден от _ покривен епител. Най-горните му слоеве са от мъртви _ клетки.;многослоен, вроговени
В най-дълбокия слой на кожата има клетки, които произвеждат тъмния пигмент _. Той поглъща вредните _ лъчи.;меланин, ултравиолетовите
Най-повърхностният слой на епидермиса е изграден от _ слой. Клетките му са изгубили _ си.;рогов, ядрата
Дермата е изградена предимно от _ тъкан. Тя е богато кръвоснабдена, което има значение за _ на телесната температура.;съединителна, регулация
Непосредствено под епидермиса дермата образува изпъквания, наречени _ В драмата на различна дълбочина се разполагат потните и _ жлези.;папили, мастните
Потни жлези има по цялото тяло, като най-много са по _, стъпалата, слабините и под _;дланите, мишниците
Потните жлези представляват тръбички, на които единият край е навит на клъбце, разположено в _ Секретът на потните жлези съдържа вода, в която са разтворени някои _ и крайни продукти на обмяната.;дермата, соли
_ жлези имат изходни канали, които се отварят в космената торбичка. Секретът им смазва космите и _, като го предпазва от засъхване и напукване.;Мастните, епидермиса
Придатъците на кожата са космите и _ Те са _ образувания на епидермиса.;ноктите, рогови
Косми покриват цялото тяло с изключение на дланите, _, пръстите и _;ходилата, устните
Космите са изградени от _ в дермата и _, който излиза над повърхността на кожата.;корен, ствол
Кожата изпълнява редица важни функции: защитна, _, сетивна и _;отделителна, терморегулаторна
Кожата покрива човешкото тяло и го предпазва от болестотворни микроорганизми, от вредното действие на _ лъчи, от загуба на _ и други, т.е. осъществява защитна функция.;ултравиолетовите, вода
Отделителната функция на кожата е свързана с дейността на потните жлези - чрез _ се отделят крайни продукти на обмяната. При увреждане на _ тяхната функция се допълва от кожата.;потта, бъбреците
Терморегулаторна функция на кожата се осъществява главно чрез _ жлези. Подкожният _ слой играе роля на термоизолатор, който възпрепятства отделянето на топлина от тялото.;потните, мастен
Кожата е добра среда за развитие на някои _ и гъбички. Спазването на лична хигиена ограничава разпространението им. При плуване в басейни или използване на общи хавлиени кърпи, дрехи или обувки могат да се получат инфекции с гъбички - _;микроорганизми, микози
_ (младежки пъпки) е заболяване на кожата, при което секрет и мъртви вроговени клетки запушват каналите на _ жлези.;Акнето, мастните
В натрупания секрет на мастните жлези се развиват _ и се получават възпаления. При проблемна кожа е необходима консултация с _ (кожен лекар).;бактерии, дерматолог
При увреждане на бъбреците чрез потта се отделят повече _ вещества, а при захарен диабет - _;вредни, глюкоза
Под действие на полезните _ лъчи в кожата се синтезира витамин Д, който предпазва от _;ултравиолетови, рахит
Под дермата се разполага _, изградено от  _ тъкан.;подкожие, мастна
Вроденият имунитет включва _ защитни механизми, които са готови да действат срещу всички възможни _;неспецифични, патогени
При попадането им в организма повечето _ с белтъчна природа се подлагат на обработка във фагоцитиращите клетки. Този процес се означава като _ на антигена.;антигени, представяне
Вроденият (неспецифичен) имунитет включва _ системата на комплемента и _;фагоцитоза, възпаление
Двете основни характеристики на придобития имунитет са _ и _;специфичност, апмет
Т-хелперите _ другите клетки на имунната система за действие срещу _;активират, антигена
Имунен отговор, реализиран с участието на синтезираните от плазматичните клетки _ се означава като _;антитела, хуморален
Прицелните клетки мишени, както и заразени с вируси клетки, _ клетки се разпознават от _ и бързо се разрушават.;раковите, Т-убийците
Срещу _ на антигена организмът противопоставя първоначално поредица от _ бариери.;проникването, няколко
Пори в _ на попаднали в организма клетки нашественици се образуват в резултат на активиране на _, както и на системата на комплемента.;мембраната, Т-убийците
След _ им от Т-хелперите лимфоцити _ се превръщат в плазматични клетки, синтезиращи антитела.;стимулирането, В-лимфоцитите
Рецепторите преобразуват дразненията в нервни импулси с определена _ и _;честота, сила
При възбуждане на рецептора за повръщане започват перисталтични движения от _ към _ и хранопровода.;дванадесетопръстника, стомаха
В зависимост от това кои са ефекторните органи, рефлексните дъги може да бъдат _ и _;соматични, вегетативни
Сложната полисинаптична рефлексна дъга включва вериги от няколко _ и междинни неврона и _ неврон.;сетивни, двигателен
По сетивните неврони информацията от _ се предава към _ нервна система.;рецепторите, централната
Рефлексната дъга включва _, сетивен неврон, нервен _, двигателен неврон и изпълнителен орган.;рецептор, център
Информацията от централната нервна система до изпълнителните _, се осъществява чрез _ неврони.;органи, двигателни
Рефлекси, формирани през следзародишното развитие, които могат да се _ типични за индивида, се наричат _;променят, условни
Крайният отговор на нервния център се формира чрез сумиране на сигналите за _ и _;възбуждане, задържане
При химичните синапси предаването на нервния _ ce осъществява чрез _ - химично вещество посредник.;импулс, невромедиатор
При разграждането на хранителните вещества се получават малки _ на прости вещества, от които впоследствие във всяка клетка се изграждат _ структури.;молекули, собствени
Храната с съставена от хранителни _, които съдържат различни хранителни _;пордукти, вещества
Основен източник на енергия за клетката е _, а _ служат като енергиен резерв.;глюкозата, мазнините
Белтъците представляват дълги вериги от _ Те са необходими за растежа и _ на организма.;аминокиселини, развитието
Мазнините в клетките са образувани от 2 вида молекули _ и _;глицерол, мастни киселини
"Клетките ""предпочитат"" да използват при необходимост енергия първо от _, а ако те не са достатъчни и _";въглехидратите, мазнините
Витамините са _ вещества, които участват в синтезата или в активирането на клетъчните _;органични, ензими
Разграждането на хранителните вещества протича при процеса _, който се осъществява чрез органи, изграждащи _ система.;храносмилане, храносмилателна
Храносмилането включва _ и _ обработка на храната.;механична, химична
Част от зъба лежи във вдлъбнатина на _ и се нарича _;челюстта, корен
Под дентина се намират кухина и канал, запълнени с _ която съдържа нерви и _;пулпа, кръвоносни съдове
Около устната кухина са разположени три чифта големи слюнчени жлези - по две _, подчелюстни и _;околоушни, подезични
Слюнката съдържа ензимите амилаза и _ с които се осъществява разграждането на скорбялата до проста захар. ;малтаза, глюкоза
Езикът е _ орган прикрепен към _ на устната кухина.;мускулест, дъното
Стените на гълтача са изградени от _ мускулатура, която при съкращение изтласква хапката в _;напречно набраздена, хранопровода
Хранопроводът представлява тръба дълга около 25 см, която преминава през гръдната кухина, през _ и се отваря в _;диафрагмата, стомаха
В гълтача се срещат в общо пространство _ и _;храната, въздухът
Входът на стомаха е свързан с _, а изходът - с началото на _;хранопровода, тънкото черво
На изхода на стомаха се намира кръгъл мускул - _, който при съкращение не позволява преминаване на _ в тънкото черво.;сфинктер, храната
В стомашния сок се съдържа _ киселина, която активира пепсина и  _ предпазваща стомашните клетки.;солна, слуз
При запълнен стомах периодично възникват последователни _ и отпускания на мускулните влакна от входа към изхода на стомаха - _;съкращения, перисталтика
Ензимът трипсин разгражда белтъците до _. Други ензими ги доразграждат до _;малки молекули (пептиди), аминокиселини
Жлъчният сок представлява златистозеленикава течност, съдържаща жлъчни _, но не и _;киселини, ензими
По цялата дължина на тънкото черво лигавицата е силно нагъната и осеяна с малки _ секретиращи чревен _ сок.;жлезички, смилателен
Получените в храносмилането прости захари, аминокиселини, _ киселини и глицерол лесно преминават през _ клетки на лигавицата на тънкото черво. ;мастни, епителните
На изхода на тънкото черво се намира _, която периодично пропуска съдържанието на тънкото черво. Дебелото черво е дълго _  и е значително по-широко от тънкото.;клапа, 1,5 м.
Дебелото черво извършва _ движения, които осигуряват изхвърлянето на остатъците от храна през _;перисталтични, ануса
Стомашната стена има силно развит слой от _ мускули, чиито съкращения подпомагат размесването на стомашния сок с храната и улесняват действието на ензима _;гладки, пепсин
Дванадесетопръстникът има голямо физиологично значение, тъй като в него се изливат секретите на _ и _ сок;панкреаса, жлъчния
_ черво има възходяща, хоризонтална и низходяща част и завършва с _ черво и анус. ;Дебелото, право
Всмуканите през стените на чревните власинки _ молекули, преминават в кръвта и _;малки, лимфата
_ черво започва със "сляп" участък, който има малък израстък - _;Дебелото, апендикс
Носът е орган, чрез който се вдишва и издишва въздух, който се състои от _ нос и носна _;външен, кухина
Хрущялите на носа оформят два отвора - _, които са постоянно отворени и  през които навлиза _ въздух. ;ноздри, атмосферен
Носната кухина е разделена чрез отвесна _ и _ преграда на лява и дясна половина. ;костна, хрущялна
Дишането през носа е от важно значение, тъй като при него въздухът преминава през носната кухина, където се _, _ и затопля.;овлажнява, пречиства
Зад носната кухина се намира горната част на _ - носоглътката, в нея се намират някои от _, в които има голям брои лимфоцити.;гълтача, сливиците
Долната част на гълтача се свързва с _ който е разположен в _ част на шията.;гръкляна, предната
Най-големият хрущял при човекът е щитовидния. Той има формата на _ и е по-силно изпъкнал при _;щит, мъжете
Отгоре върху гръкляна се намира хрущялно капаче - _, което при преглъщане затваря входа на гръкляна и в него не навлиза _;надгръклянник, храна
В най-тясната част на _ се намират гласовите връзки, между които има цепнатовиден _;гръкляна, отвор
Гласът се получава от трептенията на гласовите _, предизвикани от преминаващия при _ въздух.;връзки, издишването
Трахеята е образувана от хрущялни _ обърнати с отворената си част назад към _;полупръстенни, хранопровода
Бронхите навлизат в съответния ляв и десен _, където се разклоняват дървовидно на по-малки бронхи, а те от своя страна се разклоняват на още по-малки клончета _;бял дроб, бронхиоли
Белите дробове са разположени в _ Между тях се намират _ и големи кръвоносни съдове.;гръдния кош, сърцето
Отвън белите дробове са обвити с тънка ципа - _, която се състои от два листа. Между тях има малко пространство, изпълнено с _, улесняваща движението на белите дробове. ;плевра, тченост
Дихателната система осигурява набавянето на _ и отстраняването на _ от организма.;кислород, въглероден диоксид
Газовата обмяна се осъществява чрез дихателни движения - _ и _;вдишване, издишване
При вдишване ребрата се _, а _ се спуска към коремната кухина.;повдигат, диафрагмата
Издишването е _ процес, при който ребрата се спускат надолу, поради отпускането на _ мускули.;пасивен, междуребрените
Вдишването е активен процес, защото се извършва в резултат от съкращаването на _ и _;междуребрените мускули, диафрагма
Жизнената вместимост на белия дроб представлява максималния обем _ въздух след максимално _;издишан, вдишване
Дихателната дейност се регулира по _ път и чрез _, които се пренасят чрез кръвта. ;нервен, вещества
Отделителната система и главно бъбреците отделят в урината крайни продукти от обмяната на _ и излишната вода и _.;белтъци, соли
Бъбреците подпомагат поддържането на определена киселинност в _ и тъканите и подпомагат поддържането на нормално _ налягане.;кръвта, кръвно
При надлъжен срез на бъбрек се различават два слоя: _ и _.;кора, сърцевина
Сърцевината на бъбрека се състои от бъбречни _, обърнати с върха си към бъбречното _.;пирамиди, легенче
Бъбреците са _ орган. Разположени са върху _ коремна стена.;чифтен, задната
Бъбреците са обвити в мастна _, която има значение за _ и защитата от удари и сътресение.;капсула, прикрепването
