Симпатиковата част на вегетативната нервна система повишава перисталтиката на стомаха и червата.;не
Под действие на нервните импулси от симпатикуса организмът повишава своята физическа активност.;да
Парасимпатиковата част на вегетативната нервна система ускорява сърдечната дейност и стеснява кръвоносните съдове.;не
Парасимпатиковата част на вегетативната нервна система разширява въздухоносните пътища в белите дробове.;не
Парасимпатиковата част на вегетативната нервна система засилва перисталтиката на стомаха и червата, както и усилва дейността на храносмилателните жлези.;да
Под действие на нервните импулси от парасимпатикуса организмът повишава своята физическа активност.;не
Централната част на симпатикуса и парасимпатикуса са под контрола на средния мозък.;не
Вегетативната нервна система не се повлиява от емоционалното състояние на човека.;не
Ендокринната система включва жлезите с вътрешна и външна секреция.;не
Съгласуваното действие на ендокринните жлези е резултат от действието на хипофизата и нервният контрол.;да
Хормоналната регулация е по-бавна, но с по-продължителен ефект;да
Хормоналната регулация е по-бърза, но с по-кратък ефект.;не
Повечето от хормоните на хипофизата се произвеждат от задния дял.;не
Антидиуретичният хормон повишава продукцията на мляко в млечните жлези.;не
Хормон от предния дял на хипофизата активира секрецията на хормони от щитовидната жлеза.;да
От задния дял на хипофизата се отделя хормона на растежа.;не
Основният хормон на щитовидната жлеза е родовия хормон.;не
Хормоните на щитовидната жлеза съдържат йод.;да
При недостиг на йод във водата и храната щитовидната жлеза намалява размерите си.;не
Основният хормон на хипофизата е тироксин.;не
Секрецията на по-голямо от нормалното количество тироксин предизвиква тиреотоксикоза.;да
Недостатъчната секреция на тироксин в напреднала възраст води до кретенизъм.;не
Околощитовидните жлези са свързани с обмяната на калий в организма.;не
Задстомашната жлеза отделя задстомашен сок и Хормони.;да
Основният хормон на задстомашната жлеза е инсулин.;да
Инсулинът участва в превръщането на гликогена в глюкоза и мазнини.;не
Хормоните на стреса се отделят от надбъбречните жлези.;да
Прогестеронът се отделя от жълтото тяло.;да
Естрадиолът регулира женските полови цикли.;да
Тестостеронът стимулира силно белтъчната синтеза.;да
Чрез зрението човек получава 65 % от информацията за околната среда.;не
Зрителната сетивна система се състои от очите, проводящи нервни пътища и сетивна зона в кората на крайния мозък.;да
Зрителната сетивна система се състои от очните ябълки, мускули, клепачи и слъзен апарат.;не
Зрителните рецепторни клетки (пръчици и колбички) са разположени в ириса.;не
Рецепторните клетки на зрителния анализатор се дразнят от светлинните лъчи, които постъпват в окото през стъкловидното тяло.;не
Светлинните лъчи, които постъпват в окото, се фокусират чрез зеницата.;не
Допълнителните органи на окото са мускулите, клепачите и слъзният апарат.;да
Външната обвивка на очната ябълка отпред е прозрачна и се нарича роговица.;да
Склерата е изградена от рехава съединителна тъкан, прозрачна е и има транспортна функция.;не
Средната обвивка на очната ябълка съдържа множество фоторецепторни клетки.;не
Акомодационният мускул е разположено в средната обвивка на очната ябълка.;да
Зеничният рефлекс представлява разнтаряване на зеницата при силна светлина, както и стесняване на зеницата при слабо осветление.;не
Пръчиците и колбичките са разположени в средната, светлочувствителна обвивка на очната ябълка.;не
Пръчиците са фоторецепторите за цветно виждане, а колбичките - за светло и тъмно.;не
В жълтото петно липсват колбички, като има струпване на пръчици.;не
Мястото, където се образува нервът в ретината, се нарича сляпо петно.;да
Зрителните пигменти са вещества, производни на витамин К.;не
Зрителният нерв провежда зрителната информация до малкия мозък.;не
Вътрешността на очната ябълка представлява стъкловидно тяло, което е прозрачно и пихтиесто.;да
Лещата на окото е разположена зад стъкловидното тяло и пред ириса.;не
Виждането наблизо и далеч се осъществява чрез промяна на изпъкналостта на лещата на окото /акомодация/.;да
Мускулите на очната ябълка са общо пет.;не
Сляпото петно е мястото на най-ясно виждане в ретината.;не
Жълтото петно е мястото в ретината, където виждането е най-неясно (най-лошо).;не
Вкусовата сетивност представлява процес, при който неразтворимите вещества в храната въздействат върху вкусовите рецептори.;не
Вкусовите рецептори се намират във вкусови луковици, разположени в брадавичките по горната повърхност на езика, както и в лигавицата на мекото небце.;да
Съществуват пет основни вкусови усещания - за сладко, за горчиво, за кисело, за тръпчиво и за солено.;не
Усещането за сладко се възприема в задната част на езика.;не
Усещането за горчиво се възприема на върха на езика.;не
Усещането за солено се възприема в задната част на езика.;не
Вкусовата информация се провежда от съответните нерви до малкия мозък.;не
Вкусовите усещания се възприемат от определена зона в кората на крайния мозък.;да
Обонятелната сетивност е чувствителност към нелетливи вещества, намиращи се във въздуха или храната.;не
Основно количество миризми навлизат от устната кухина в носната.;не
Човекът може да различи 4000 - 5000 различни миризми.;не
Мирисната информация се възприема от рецепторни клетки, които се намират в горната част на носната кухина.;да
Обонятелната зона в носната кухина има обширна площ.;не
Централният израстък на обонятелните рецепторни клетки завършва с разширение, от което излизат няколко реснички.;не
Центърът за възприемане на обонятелната информация се намира в междинния мозък.;не
Обонятелната сетивност служи за преценка на качествата на храната и за оценка на обстановката в околната среда.;да
Общата сетивност се разделя на повърхностна и дълбока сетивност.;не
Рецепторите на повърхностната сетивност са разположени само в кожата.;не
Общата сетивност включва способността за получаване на информация от мускулите, сухожилията и вътрешните органи.;не
Съществуват четири вида повърхностна сетивност - за допир, за натиск, за температура и за болка.;да
Усещането за. болка може да се потисне от определени центрове в мозъка.;да
Рецепторите за възприемане на топло и студено са едни и същи.;не
Рецепторите за дълбока сетивност са разположени само в мускулите.;не
Чрез рецепторите за вътрешна сетивност се получава информация за състоянието на кръвоносната система и вътрешните органи.;да
Органът на слуха се състои от четири части, като най - вътрешните три части се намират в слепоочната кост.;не
Външният слухов проход е с дължина 4,5 см.;не
Тъпанчевата мембрана е разположена на границата на средното с вътрешното ухо.;не
В тъпанчевата мембрана са разположени жлези, които отделят секрет, образуващ ушната кал.;не
Средното ухо се състои от тъпанчева мембрана, тъпанчева кухина, слуховите костици в нея и Евстахиевата тръба.;да
Евстахиевата тръба свързва средното с вътрешното ухо.;не
Слуховите костици и Евстахиевата тръба са част от вътрешното ухо.;не
Слуховата сетивност е от значение не само за възприемане на околната среда, но и за развитието на речта.;да
Слуховите костици са четири на брой и са разположени във вътрешното ухо.;не
Трептенията на тъпанчевата мембрана се предават на ципестия лабиринт.;не
Вътрешното ухо се състои от две части: вестибуларния апарат и охлюва.;да
Кортиевият орган е част от вестибуларният апарат.;не
Кортиевият орган е разположен върху основната мембрана на ципестия лабиринт в охлюва.;да
Слуховата информация се провежда от слуховия нерв до продълговатия мозък и оттам до подхълмието на междинния мозък.;не
Сетивната информация за поддържане на равновесието постъпва само от равновесната част на вътрешното ухо.;не
Информацията за поддържане на равновесието постъпва от вестибуларния апарат, както и от рецепторите за дълбока сетивност.;да
Вестибуларният апарат е съставен от три торбички и два полуокръжни канала.;не
Междинният мозък има особено важно значение за равновесието, защото именно до него достига информацията за равновесното положение на тялото. ;не
Възбуждането на сетивните клетки на органа на равновесието става при движение на течността във вестибуларния апарат.;да
Морската болест възниква в резултат на силно дразнене на рецепторите на слуховия анализатор.;не
Кожата е най-външната обвивка на човешкото тяло, която е изградена от три слоя: външен - епидермис, среден - мезодермис и вътрешен - ендодермис.;не
Меланинът поглъща вредните ултравиолетови лъчи от слънчевата светлина и предпазва клетките в по-дълбоките слоеве на кожата.;да
Най-дълбокият клетъчен слой на епидермиса е изграден от клетки, които не се делят.;не
Най-повърхностният слой на епидермиса е изграден от рогов слой.;да
Дермата съдържа голямо количество колагенови и еластични влакна, благодарение на които кожата е еластична и гъвкава.;да
В епидермиса на различна дълбочина се разполагат потните и мастните жлези, както и корените на космите.;не
Потните жлези представляват тръбички, на които единият край е навит на клъбце, разположено в дермата.;да
Мастните жлези имат канали, които се отварят в космената торбичка.;да
Клетките на потните жлези отделят секрет, който смазва космите и епидермиса и ги предпазва от засъхване и напукване.;не
Космите са изградени от корен в дермата и ствол, който излиза над повърхността на кожата.;да
Ноктите покриват крайните части на пръстите, където са струпани голям брой нервни окончания.;да
Сетивната функция на кожата се осъществява от рецептори за възприемане на външни дразнения - за допир, натиск, топло, студено, болка.;да
Терморегулаторната функция на кожата се осъществява главно чрез изпарение на вода и разширяване и стесняване на лимфните съдове в дермата.;не
Отделителната функция на кожата е свързана с дейността на мастните жлези - чрез мастния секрет се отделят крайни продукти на обмяната.;не
Акнето е заболяване на кожата, при което секрет и мъртви вроговени клетки запушват каналите на мастните жлези.;да
Изтъняването на озоновия слой около Земята и озоновите дупки са причината за увеличената честота на рак на кожата.;да
В натрупания секрет на младежките пъпки се развиват бактерии и се получават възпаления, затова е необходимо те да се изстискват.;не
Основна роля в осъществяването на клетъчния имунен отговор имат В-лимфоцитите.;не
В осъществяването на клетъчния имунен отговор основна роля изпълняват Т-килърите.;да
Фагоцитозата е един от основните механизми на придобития (специфичен) имунитет.;не
Клетките на трансплантираните органи в организма се атакуват и отстраняват от Т-цитотоксичните клетки.;да
Представянето на антигена е присъщо за клетките на имунната памет.;не
Специфичността е термин, характеризиращ естеството на възпалителната реакция, наблюдавана в мястото на проникване на антигена в организма.;не
Фагоцитозата, системата на комплемента и възпалението са присъщи за вродения (неспецифичен) имунитет.;да
В зависимост от начина на разпознаване, атакуване и обезвреждане на постъпилия в организма антиген (с помощта на антитела или с Т-цитотоксични клетки) различаваме хуморален и клетъчен имунен отговор.;да
В резултат на ваксинация се придобива изкуствен активен имунитет.;да
Клетките на имунната памет осигуряват по-бърз и ефективен имунен отговор при повторна среща с антигена.;да
Представянето на антигена е присъщо за клетките на имунната памет.;не
Слюнката, сълзите и стомашният сок, осигуряващи неблагоприятна среда за развитие на различни болестотворни причинители, се причисляват към механичните бариери на защита на организма.;не
Антитела, образувани след имунизация, атакуват вируса SARS-CoV-2, причиняващ COVID-19.;да
Т-хелперите, клетките на имунната памет, В-лимфоцитите, както и Т-килърите са активни участници в осъществяването на неспецифичния (вроден) имунитет.;не
Фагоцитите играят роля както в неспецифичната, така и в специфичната защита на организма.;да
"Представянето на антигена включва: а) процес на поглъщане на антигена чрез фагоцитоза; 6) разграждане на антигена, последвано от свързване на част от него в комплекс с цитоплазмени белтъци на макрофага; в) изнасяне на образувания комплекс на повърхността на клетъчната мембрана.";да
Една от най - сложните прояви на хомеостазата е имунната защита, която има за цел да запази генетичната уникалност на организма.;да
Мембраните на Т- и В-лимфоцитите са лишени от рецептори за разпознаване на антигена.;не
Функцията на антителата е да свързват и унищожават антигена.;не
Хуморалният и клетъчният имунен отговор се ангажират в различна степен в зависимост от природата на всеки конкретен антиген.;да
Рецепторите са специализирани структури - нервни клетки или нервни окончания, с по-висока чувствителност към даден вид дразнител.;да
По двигателните нерви информацията от рецепторите се предава към ЦНС, където се обработва и се изготвя нова информация.;не
Организмите изпитват непрекъснато въздействието на различни дразнители от околната среда.;да
Зрителната сетивност е най-старата и най-общата от сетивните системи.;не
При организмите с добре развита нервна система рецепторите структурно и функционално са обединени с нервната система в комплекси -сетивни системи.;да
Хуморалната регулация е възникнала в по-късен етап от еволюционното развитие на организмите след нервната регулация.;не
При соматичните рефлексни дъги изпълнителните органи са гладка и сърцева мускулатура и жлезите с вътрешна ѝ външна секреция;не
Рефлексната дъга, включваща рецептор, сетивен неврон, нервен център, двигателен неврон и изпълнителен орган е анатомичният път, по които се осъществява рефлексът.;да
Кихането и кашлянето са сложни рефлексни актове с елемент на придобито поведение на животните и човека.;не
Рефлексът е реакция на организма в отговор на промени във външната и вътрешната среда, която се осъществява с участието на централната нервна система и в резултат от дразнене на рецепторите.;да
Сънотворните и успокоителните лекарства, използвани за лечението на неврологични и психични заболявания, действат на нивото на синапсите.;да
Коленния рефлекс представлява двуневронна верига, състояща се от един сетивен и един двигателен неврон.;да
При химическите синапси предаването на нервния импулс се осъществява чрез невромедиатор.;да
Безусловните рефлекси се променят през целия живот на организма.;не
Мигане, кихане и кашляне са примери за придобити през индивидуалното развитие рефлекси.;не
Свиренето на музикален инструмент е сложна рефлексна дейност, която се контролира от висшата нервна дейност при човека.;да
Лесно променливите и типични за индивида условни рефлекси, формирани в хода на индивидуалния живот, са винаги вродени.;не
Адреналинът предизвиква съкращение на гладките мускули на кръвоносните съдове и отпускане на гладките мускули на стомаха и червата.;да
Нервния импулс се провежда до изпълнителния орган чрез по сетивни нерви.;не
Еволюционното развитие на нервната система се изразява в усложняване на междуневронните връзки и образуване на група неврони с обща функция.;да
Към химичната сетивност се отнасят вкусът и обонянието.;да
Храненето е процес, при който организмът приема хранителни продукти.;да
Хранителните вещества в организма се разграждат от химични катализатори - въглехидрати.;не
Въглехидратите се съдържат главно в продукти от растителен произход - пшеница, картофи и др.;да
Белтъците в храната са особено необходими за растежа и развитието на организма.;да
Големите слюнчени жлези са две - надчелюстните и подчелюстните.;не
Мазнините са образувани от свързването на два вида молекули - глицерол и мастни киселини.;да
Амилазата разгражда белтъците до пептиди.;не
Гълтачът е разположен зад носната кухина, зад устната кухина и под гръкляна.;не
Кухината на зъба с запълнена с дентин.;не
Пулпата съдържа нерви и кръвоносни съдове.;да
В детска възраст човек има само 32 зъба и те се наричат млечни зъби.;не
В устната кухина се отварят три чифта големи слюнчени жлези.;да
Подмяната на млечните зъби с постоянни приключва след 17 - 18 годишна възраст.;да
Хранопроводът е тръба с дължина 15 см, която минава зад трахеята, през гръдната кухина, през диафрагмата и се отваря в стомаха.;не
Четирите основни вида вкусови усещания, които се възприемат от вкусовите луковици на езика, са - сладко, солено, кисело и люто.;не
Езикът е мускулест орган, прикрепен към дъното на устната кухина.;да
Човешкото съзъбие си състои от - 4 резци, 8 кучешки зъба, 12 предкътника и 12 кътника.;не
По-твърдата храна преминава през хранопровода за няколко секунди, а течностите за 1 секунда.;да
19. При покой от слюнчените жлези се отделя малко слюнка - 15-20 мл.;да
Витамините не са източник на енергия, но са крайно необходими за нормалното протичане на жизнените процеси, тъй като са градивен материал за организма.;не
Лигавицата на устната кухина е осеяна с големи слюнчени жлези.;не
Слюнката съдържа ензима липаза, с който започва химичното смилане на въглехидратите.;не
На входа на стомаха се намира кръгъл мускул- сфинктер;не
Смилателният сок съдържа пектин- ензим, под чието действие започва разграждането на белтъците в храната.;не
В стомашния сок се съдържа оцетна киселина, която активира пектина, и слуз, предпазваща стомашните клетки от киселината.;не
Стомашната стена има силно развит слой от гладки мускули, чиито съкращения подпомагат разместването на стомашния сок с храната и улесняват действието на ензима.;да
Началната част на тънкото черво е с дължина около 12 напречно разположени пръста и се нарича дванадесетопръстник.;да
В задстомашната жлеза се изработва смилателен сок с различни ензими, с чиято помощ се извършва пълното разграждане на хранителните вещества.;да
Въглехидратите се разграждат от амилаза и други ензими до прости захари.;да
Ензимът липаза разгражда белтъците до по-малки молекули.;не
В клетките на черния дроб се образува жлъчен сок, който се събира в жлъчен мехур.;да
Жлъчният сок представлява течност, съдържаща жлъчни киселини и ензими.;не
По цялата дължина на тънкото черво лигавицата е силно нагъната и осеяна с малки жлезички, секретиращи пепсин.;не
Лигавицата на тънкото черво образува огромен брой власинки, които могат да се свиват и отпускат.;да
Власинките увеличават двукратно повърхността на червото, с което всмукването силно се повишава.;не
На изхода на тънкото черво се намира клапа, който периодично пропуска съдържанието на червото.;да
В средната част на дебелото черво се намира ,, сляп“ участък, който има малък израстък - апендикс.;не
Около ануса са разположени сфинктери, които извеждат остатъците от неусвоените вещества.;да
Сфинктери има в началото и края на дебелото черво.;не
Както секрецията на храносмилателни сокове, така й движението на стомаха и червата се регулират в зависимост от храненето.;да
Дебелото черво извършва перисталтични движения, които осигуряват изхвърлянето на остатъците от храна.;да
В дебелото черво продължава всмукването на вода и минерални соли, както и ензимното разграждане на храната.;не
Носът се състои от външен нос и носна кухина.;да
Носната кухина е покрита с ресничест епител, който се овлажнява от слузни жлези разположени по него.;да
При хората най-голям е щитовидния хрущял.;да
Най-силно е изпъкнала адамовата ябълка при жените.;не
Надгръклянникът се затваря при преглъщане и не навлиза храна в гръкляна.;да
Бронхиалното дърво се изгражда само от бронхите.;не
При промяна на положението на тялото трахеята се отваря и затваря.;не
Левият бял дроб е по-голям от десния.;не
Трахеята е тръба с дължина около 12 см.;да
Отвън белите дробове са обвити с плевра, която е еднослойна.;не
Отвън белите дробове са обвити с плевра, която е двуслойна.;да
В белите дробове навлизат белодробните вени.;не
Най-малките бронхиоли завършват с тънкостенни белодробни мехурчета - алвеоли.;да
Носната кухина е покрита с ресничест епител.;да
В трахеята се намира третата сливица.;не
От белите дробове излизат белодробните вени.;да
Стените на капилярите, които са от външната страна на алвеолите са изградени от двуслоен ресничест епител.;не
Общата дихателна повърхност на алвеолите е около 50-100 м2;да
Трахеята се свързва с белия дроб чрез капиляри.;не
Гласът се получава от трептенията на гласовите връзки, предизвикани от преминаващия при издишване въздух.;да
Стените на алвеолите са изградени от един слой епителни клетки.;да
В белите дробове влизат бронхите, белодробната артерия и нерви.;да
В белите дробове влизат бронхите, белодробната артерия, белодробните вени и нерви.;не
Трахеята е тръба с дължина около 22 см.;не
Носната кухина е покрита със съединителна тъкан.;не
Общата дихателна повърхност на алвеолите е около 500-1000 м2;не
Дихателната дейност се регулира по нервен път и чрез вещества, които се пренасят чрез кръвта.;да
Регулирането на дишането по нервен път се извършва с участието на дихателен център в мозъка.;да
Когато дихателния център се възбуди, той изпраща нервни импулси до междуребрените мускули и диафрагмата.;да
Бъбреците са чифтен орган и са разположени върху задната коремна стена.;да
Във вътрешността на бъбрека е разположена мастна капсула.;не
Капилярното клъбце е свързано с входяща артерия и изходяща вена.;не
В нефрона се извършва филтрация, обратно всмукване и секреция.;да
Първичната урина съдържа вода, аминокиселини, глюкоза, минерални соли.;да
Крайната урина съдържа само вода, аминокиселини, соли, пикочна киселина.;не
Стената на пикочопроводите съдържа рехава съединителна тъкан.;не
Обемът на крайната урина е около 1,5 л. за денонощие.;да
Около пикочния мехур е разположен сфинктер.;не
Пикочният мехур е кух мускулест орган с резервоарна функция.;да
Обратното всмукване се извършва през стената на капсулата.;не
Образуването на урина се регулира главно чрез хормони.;да
Филтрацията се осъществява благодарение на по-ниското кръвно налягане в клъбцето.;не
Основната структурна и функционална единица на бъбрека е неврона.;не
Циститът е възпаление на пикочния мехур.;да
Хемодиализа се налага при тежки увреждания на черния дроб.;не
Най-успешна е трансплантацията на бъбрек при еднояйчни близнаци.;да
Отделителната система и главно бъбреците, участват в поддържането на хомеостазата.;да
Бъбреците имат дължина около 12 см.;да
През бъбреците за едно денонощие преминава около 10 литра кръв.;не
Сърцето се разполага в гръдния кош между двата бели дроба.;да
Сърцето на човека е четириделно - съдържа две предсърдия и две камери.;да
Между предсърдията и камерите има отвор с клапа, която пропуска кръвта само в една посока - от камерите към предсърдията.;не
Сърцето е кух орган, чиито стени са изградени от ендокард, миокард и епикард.;да
Сърцето е кух орган, чиито стени са изградени от ендокард, миокард, епикард и перикард.;не
Предсърдията се свързват с камерите чрез отвори, в които са разположени предсърдно-камерни клапи.;да
Кръвта се движи само в една посока - от предсърдията към камерите, без да се връща в предсърдията.;да
От вътрешната страна на миокарда се разполага ендокардът - изграден от епител.;да
Най-голяма дебелина има миокардът на дясната камера.;не
Венозната кръв от цялото тяло се влива в лявото предсърдие чрез горна и долна куха вена.;не
В дясното предсърдие се вливат четири малки съда - белодробни вени.;не
От дясната камера излиза белодробната артерия.;да
В началото на големите кръвоносни съдове се намират полулунни клапи, които пропускат кръвта само в една посока.;да
Две венечни артерии кръвоснабдяват сърдечната стена.;да
При нормални условия сърцето поглъща около 2090 от кислорода, който постъпва в организма.;не
Кръвоносните съдове са - артерии, артериоли, капиляри, венули и вени.;да
Кръвоносната система на човека е отворена.;не
Артериите са кръвоносните съдове на човека който изнасят кръвта от сърцето.;да
От лявата камера на сърцето излиза най-големият кръвоносен съд - аортата.;да
Вените са кръвоносни съдове, по които тече кръв към сърцето.;да
Основно значение за поддържането на относителното постоянство в организма има неговата вътрешна течна среда.;да
Кръвта се състои от кръвна плазма - течна част, и кръвни клетки - формениелементи.;да
Кръвните клетки на кръвта са: червени кръвни клетки - левкоцити, бели кръвни клетки - еритроцити и кръвни плочици - тромбоцити.;не
Лимфата е течност, близка по състав с кръвта, но по-бедна на мазнини и по-богата на белтъци.;не
Еритроцитите са безядрени клетки, които имат формата на двойно вдлъбнат диск.;да
Тъканната течност има основно значение при обмяната на веществата между кръвта и клетките.;да
Кръвната плазма лишена от фибриноген се нарича кръвен серум.;да
Формените елементи заемат около 6590 от обема на кръвта.;не
Еритроцитите при човека са клетки с ядро и цитоплазмени органели.;не
За разлика от еритроцитите левкоцитите имат ядра.;да
Тромбоцитите нямат ядра и се обновяват на 8-11 дни.;да
При човека след раждането еритроцитите се образуват в слезката и черния дроб.;не
Еритроцитите се разграждат в бъбреците и жълтия костен мозък.;не
Еритроцитите се разграждат в черния дроб и слезката.;да
Еритроцитите се образуват в костния мозък и живеят около 120 дни.;да
За образуването на еритроцитите голямо значение има приемането на храни богати на желязо и витамин В12.;да
При взаимодействието на антиген А с антитяло а, или на антиген В с антитяло b еритроцитите хемолизират.;не
Хемоглобинът е белтък и съдържа железни Йони.;да
С газа СО хемоглобинът образува трайно съединение карбоксихемоглобин.;да
При кислороден глад броят на еритроцитите и хемоглобинът в тях се увеличава.;да
Артериалната кръв е алено червена и богата на кислород.;да
По повърхността на еритроцитите на 1590 от хората има специфично вещество резус-фактор.;не
Рязкото увеличаване на броя на левкоцитите е показател за анемия.;не
