Хормоните, произведени от хипофизата:;а. повлияват дистанционно всички други клетки в организма;б. регулират секрецията на периферни хормони (хормони от щитовидната, кората на надбъбречните и половите жлези);в. са единствените хормони произвеждани от ендокринната система;г. притежават слаба специфичност и продължително действие върху клетки, лишени от рецептори за тях;б
Най-голямата биологична система в равнищата на организация на живата материя е:;а. клетка;б. популация;в. биоценоза;г. биосфера;г
Метаболизмът:;а. обединява всички биохимични процеси, участващи в поддържането на живота на клетките и по този начин на организма;б. е относително постоянство на вътрешната среда на организма;в. е нервна система за регулация в многоклетъчния организъм;г. бива катаболен процес, който изразходва енергия за синтез на прости молекули в по-сложни макромолекули;а
За правилното функциониране на организма на човек се поддържат относително постоянни по стойност показатели на:;а. кръвта и кръвните клетки;б. алкално-киселинното равновесие;в. телесната температура;г. всички изброени по-горе;г
Кое от посочените твърдения не е правилно за принципа на обратната връзка за регулация:;а. обратната връзка е механизъм, чрез който в една биосистема се предава сигнал от входа към нейния изход;б. обратната връзка има голямо значение за координацията на движенията и за секрецията на хормони;в. обратната връзка може да бъде отрицателна и положителна;г. чрез обратна връзка се осъществява регулация на ензимната активност чрез обратно инхибиране;а
Изберете най-точният отговор. Функциите на предния и задния дял на хипофизата се контролира от действието на:;а. хипоталамуса;б. панкреаса;в. черния дроб;г. половите жлези;а
Кое от следните твърдения не се отнася за многоклетъчният организъм?;а. отличава се с висока степен на подреденост на изграждащите го структури;б. включва подсистемите клетки, тъкани, органи, системи от органи;в. функционирайки в организма системите от органи са структурно и функционална разделени една от друга;г. е самостоятелно съществуваща цялостна система;в
Хипофизата е тясно свързана с хипоталамуса, двете структури се обединяват под названието:;а. хипофизно-хипоталамична система;б. хипофизна система;в. хипоталамусна система;г. хипоталамо-хипофизна система;г
В колко на брой царства е обединен организмовия свят?;а. растения, животни, гъби, протиста, монера;б. растения, животни, гъби;в. прокариоти, еукариоти, вируси, бактерии, синьо зелени водорасли;г. сукариоти, прокариоти;а
Органът представлява:;а. съвкупност от органели, обединени в системи, които изпълняват конкретна функция в организма;б. междинно подклетъчно виво на организация, позиционирано между тъкан и система от органи;в. функционално единство от тъкани, които осигуряват определена жизнена потребност на организма;г. ниво на организация между органел и тъкан;в
Атоми, молекули, надмолекулни комплекси и органели са подсистеми на:;а. клетката;б. многоклетъчния организъм;в. биосферата;г. екосистемата;а
Регулацията на хомеостазата при висшите животни и човека се осъществява чрез:;а. нервната и имунната система;б. нервната, имунната и отделителната система;в. вегетативната нервна система;г. нервната и ендокринната система по механизма на обратната. връзка;г
Кой тип нервна система осигурява връзката с околната среда чрез сетивните системи и двигателния апарат?;а. вегетативна;б. централна;в. периферна;г. соматична;г
Кой тип нервна система получава информация от вътрешните органи?;а. вегетативна;б. централна;в. периферна;г. соматична;а
Въз основа на функцията си нервната система се дели на:;а. периферна и централна;б. вегетативна и соматична;в. главен и гръбначен мозък;г. сетивна и двигателна;б
В зависимост от местоположението нервната система се дели на:;а. главен и гръбначен мозък;б. вегетативна и соматична;в. периферна и централна;г. сетивна и двигателна;в
Кой дял от нервната система се намира в черепа?;а. вегетативна нервна система;б. гръбначен мозък;в. главен мозък;г. соматична нервна система;в
Колко обвивки има централната нервна система?;а. две;б. пет;в. една;г. три;г
Каква функция имат обвивките на централната нервна система?;а. регулаторна;б. рефлекторна;в. защитна;г. дренажна;в
Коя от функциите е присъща на гръбначния мозък?;а. проводна;б. защитна;в. предпазна;г. дренажна;а
Коя от функциите не е присъща на централната нервна система?;а. контрол на поведението;б. внимание;в. реч;г. храносмилане;г
Коя от следните структури не е част от периферната нервна система?;а. нерви;б. нервни възли;в. базални ядра;г. нервни сплетения;в
Кой от елементите, обвиващи структурите на централната нервна система, има най- голямо значение за предпазване на мозъка от удари и сътресения?;а. мека мозъчна обвивка;б. твърда мозъчна обвивка;в. мозъчна течност;г. паяжиновидна мозъчна обвивка;в
С коя структура на главния мозък е свързан гръбначният мозък?;а. междинен мозък;б. малък мозък;в. среден мозък;г. продълговат мозък;г
Дължината на гръбначния мозък при възрастни достига до:;а. 25 см;б. 45 см;в. 75 см;г. 1м;б
На какво ниво в гръбначния стълб завършва долният край на гръбначния мозък?;а. първи или втори гръден прешлен;б. четвърти или пети поясен прешлен;в. втори поясен прешлен;г. гръбначния мозък заема целия гръбначен канал;в
Сивото мозъчно вещество е изградено от:;а. аксони на нервни клетки;б. нервни окончания;в. нервни клетки;г. съединителна тъкан със сив цвят;в
Бялото мозъчно вещество е изградено от:;а. аксони на нервни клетки;б. нервни окончания;в. нервни клетки;г. мастна съединителна тъкан;а
Нервните клетки, чиито аксони провеждат импулсите до мускулите се намират в:;а. продълговатия мозък;б. задните рога на гръбначния мозък;в. предните рога на гръбначния мозък;г. телата на мускулите;в
Коренчетата на гръбначномозъчните нерви се образуват от:;а. телата на нервни клетки;б. аксони на нервни клетки;в. дендрити на нервни клетки;г. еластични и колагенови влакна;б
Коя от следните структури не е част от рефлексна дъга?;а. сетивен неврон;б. двигателен неврон;в. гръбначномозъчна течност;г. гръбначномозъчен възел;в
С коя от следните структури започва рефлексната дъга на коленния рефлекс?;а. сетивен неврон;б. колянно капаче;в. двигателен неврон;г. рецептори в мускулните сухожилия;г
На какво ниво от централната нервна система се включва рефлексната дъга на коленния рефлекс?;а. мозъчна кора.;б. продълговат мозък;в. гръбначен мозък;г. малък мозък;в
Каква структурна особеност имат невроните в гръбначномозъчните нервни възли?;а. имат няколко аксона;б. аксоните нямат миелинова обвивка;в. аксоните не достигат до периферни рецептори;г. имат израстък, който се разделя на два клона;г
Всеки гръбначномозъчен нерв се образува от сливането на:;а. две съседни предни гръбначномозъчни коренчета;б. две съседни задни гръбначномозъчни коренчета;в. едно предно и едно задно гръбначномозъчни коренчета;г. различен брой гръбначномозъчни коренчета в зависимост от нивото на отделянето им;в
Колко чифта гръбначномозъчни нерви излизат от гръбначния мозък?;а 11;б. 31;в. 21;г. 62;б
Какви нервни импулси се провеждат в гръбначномозъчните нерви?;а. сетивни и моторни импулси от гръбначния мозък до главния мозък;б. само сетивни импулси от рецептори в кожата и мускулите до гръбначния мозък;в. само моторни импулси от гръбначния мозък до мускулите;г. сетивни и моторни импулси между гръбначния мозък и периферни органи (кожа и мускули);г
Как се свързват аксоните на сетивните нервните клетки в сивото мозъчно вещество на гръбначния мозък с нервните клетки в предните рога, които изпращат импулси до мускулите?;а. директно или чрез други неврони;б. само чрез директни контакти;в. само чрез други междинни неврони;г. чрез съединително тъканни връзки;а
Веригата от рецептор, сетивен неврон, двигателен неврон и мускул се нарича:;а. рефлекс;б. рецепторна дъга;в. рефлексна дъга;г. гръбначен мозък;в
Коя от следните функции не е характерна за гръбначния мозък?;а. проводна функция;б. контрол на емоциите;в. вегетативна функция;г. рефлексна функция;б
В каква посока се извършва провеждането на нервните импулси в бялото вещество на гръбначния мозък?;а. от мускулите до гръбначномозъчния възел;б. само от гръбначния мозък до главния мозък;в. само от главния мозък до гръбначния мозък;г. от гръбначния мозък до главния и обратно;г
Теглото на човешкия мозък възлиза на около:;а. 1200 г;б. 1350 г;в. 1600 г;г. 1500 г;б
Колко чифта черепно мозъчни нерви излизат от главния мозък?;а 10;б. 11;в. 12;г. 3;в
Кое от изброените не принадлежи към главния мозък?;а. продълговат мозък;б. междинен мозък;в. гръбначен мозък;г. малък мозък;в
Колко мозъчни стомахчета са разположени във вътрешността на главния мозък?;а. 1;б. 2;в. 3;г. 4;г
Кой от изброените центрове за регулация не е в продълговатия мозък?;а. на кръвообращението;б. на дишането;в. на повръщането;г. на половите функции;г
Блуждаещият нерв излиза от:;а. продълговатия мозък;б. моста;в. малкия мозък;г. междинния мозък;а
Блуждаещият нерв провежда нервни импулси към:;а. скелетната мускулатура;б. повечето вътрешни органи и сърцето;в. половите жлези;г. Кожата;б
Мостът е продължение на:;а. гръбначния мозък;б. продълговатия мозък;в. малкия мозък;г. междинния мозък;б
Започващите от моста черепномозъчни нерви не инервират:;а. мимическите мускули;б. дъвкателните мускули;в. околоочните мускули;г. Сърцето;г
Мозъчният ствол не включва:;а. продълговат мозък;б. среден мозък;в. мост;г. малък мозък;г
Средният мозък обработва информация от:;а. вестибуларния орган;б. зрителния анализатор;в. вкусовия анализатор;г. Кожата;б
Увреждането на кой център в продълговатия мозък води до смърт:;а. на дишането;б. на повръщането;в. на слюноотделянето;г. на вкуса;а
От моста започват черепно мозъчни нерви, които не инервират:;а. мимическиге и дъвкателните мускули;б. кожата на лицето, устата и носната кухина;в. слюнчените жлези;г. отделянето на урина;г
Средният мозък е продължение на:;а. гръбначния мозък;б. продълговатия мозък;в. моста;г. малкия мозък;в
Центърът, потискащ болката е разположен в:;а. средния мозък;б. продълговатия мозък;в. малкия мозък;г. Моста;а
Междинният мозък е продължение на:;а. средния мозък;б. моста;в. малкия мозък;г. продълговатия мозък;а
Междинния мозък се състои от:;а. два хълма и подхълмие;б. две подхълмия и хълм;в. хълм и подхълмие;г. два хълма и две подхълмия;а
До кои части на междинния мозък достига информацията от всички сетивни системи?;а. двата хълма;б. единия хълм;в. подхълмието;г. двата хълма и подхълмието;а
Епифизата е прикачена към:;а. продълговатия мозък;б. малкия мозък;в. средния мозък;г. междинния мозък;г
Хипофизата е прикачена към:;а. подхълмието на междинния мозък;б. един от хълмовете на междинния мозък;в. моста;г. малкия мозък;а
Теглото на подхълмието възлиза на около:;а. З г;б. 4 г;в. 2 г;г. 0,5 г;б
Най-важният център, контролиращ вегетативните функции в организма се намира в:;а. подхълмието на междинния мозък;б. хълмовете на междинния мозък;в. моста;г. средния мозък;а
Подхълмието има и хормонална функция защото:;а. образува някой от хормоните на хипофизата;б. контролира функцията на тимуса;в. контролира функцията на черния дроб;г. контролира функцията на жлъчката;а
Кой от изброените центрове за контрол не се намира в подхълмието?;а. за регулиране на телесната температура;б. за регулиране на апетита и жаждата;в. за регулиране на сърдечната дейност и кръвното налягане;г. за регулиране на дишането;г
Къде е разположен центърът, регулиращ ритъма сън-будно състояние?;а. в малкия мозък;б. в продълговатия мозък;в. в хълмовете на междинния мозък;г. в подхълмието на междинния мозък;г
Малкият мозък не е свързан с:;а. продълговатия мозък;б. моста;в. гръбначния мозък;г. средния мозък;в
Функции от сетивен, вегетативен и хормонален характер се обединяват и регулират в:;а. хълмовете на междинния мозък;б. подхълмието на междинния мозък;в. малкия мозък;г. Моста;б
Крайният мозък се състои от:;а. две полукълба, свързани със снопове бяло вещество;б. две полукълба, свързани с моста;в. две полукълба, свързани с мозъчния ствол;г. две полукълба, свързани с подхълмието;а
Струпвания от сиво мозъчно вещество в основата на крайния мозък имат отношение към:;а. дишането;б. сърдечната дейност;в. двигателната дейност;г. образуването на урина;в
Мозъкът на жената е по-лек в сравнение с този при мъжа с около:;а. 150г;б. 100 г;в. 200 г;г. 300 г;б
Мозък на новороденото е:;а 400г;б. 500г;в. 1500г;г. 1000 г;а
Периферно полукълбата на крайния мозък са изградени от мозъчна кора, която е най-силно развита при:;а. риби;б. влечуги;в. птици;г. Човек;г
Кората на крайния мозък при човека е:;а. изградена от сиво вещество и силно нагъната;б. изградена от сиво вещество, по което не се наблюдават нагъвания;в. изградена от бяло вещество и нагъната;г. изградена от бяло вещество, по което не се наблюдават нагъвания;а
Коя от изброените части на главния мозък е свързана с равновесието и мускулния тонус?;а. малък мозък;б. среден мозък;в. продълговат мозък;г. междинен мозък;а
80% от масата на главния мозък се падат на:;а. малкия мозък;б. крайния мозък;в. продълговатия мозък;г. междинния мозък;б
На каква възраст теглото на мозъка на новороденото се удвоява?;а. в края на първата година от живота;б. на 6 годишна възраст;в. през пубертета;г. в климакса;а
Двигателната зона се намира:;а. в задната част на челния дял;б. в предната част на челния дял;в. в задната част на теменния дял;г. в предната част на слепоочния дял;а
При увреждане на двигателната зона в лявото полукълбо настъпва парализа на мускулите:;а. в лявата страна на тялото;б. в дясната страна на тялото;в. двустранна парализа;г. в горната половина на тялото;б
Зоната за обща сетивност е:;а. в задната част на тилния дял;б. в предната част на челния дял;в. в предната част на теменния дял;г. в задната част на теменния дял;в
Чрез повърхностната сетивност човек не възприема:;а. допир и натиск;б. болка;в. вкус;г. Температура;в
Кората на главния мозък има:;а. дебелина от 2 до 5 мм и е изградена от приблизително 100 милиарда неврона, подредени в слоеве;б. дебелина от 1 до 2 мм и е изградена от приблизително 140 милиарда неврона, подредени в слоеве;в. дебелина от 2 до 5 мм и е изградена от приблизително 10 милиарда неврона, подредени в слоеве;г. дебелина от 1 до 2 мм и е изградена приблизително от 10 милиарда неврона, подредени в слоеве;а
Дясното полукълбо е свързано с:;а. музикалните способности;б. математически възможности;в. абстрактното мислене;г. логическото мислене;а
Зрителната зона е разположена в:;а. челния мозъчен дял;б. теменния мозъчен дял;в. тилния мозъчен дял;г. слепоочния дял на мозъка;в
Слуховата зона е разположена в:;а. слепоочния дял;б. теменния дял;в. тилния дял;г. челния дял;а
В малки поленца, в основата на полукълбата се намира:;а. вкусовата зона;б. слуховата зона;в. обонятелната зона;г. равновесната зона;в
Дълбоката сетивност осигурява информация за:;а. положението на тялото в пространството;б. болка;в. допир;г. Натиск;а
Лявото полукълбо е свързано с:;а. ориентиране в дадена местност;б. музикални способности;в. художествени способности;г. математически възможности;г
Дясното полукълбо не е свързано с:;а. ориентиране в дадена местност;б. музикални способности;в. художествени способности;г. абстрактно мислене;г
Нервните клетки умират бързо при недостиг на:;а. кислород;б. въглероден диоксид;в. азотен оксид;г. Вода;а
Центърът на човешката реч при десничарите и при две трети от левичарите е в:;а. лявото полукълбо;б. дясното полукълбо;в. мазолестото тяло;г. базалните ядра;а
Кои органи не получават импулси от вегетативната нервна система?;а. стомах;б. сърце;в. скелетни мускули;г. тънко черво;в
Централната част на симпатиковия дял на вегетативната нервна система се намира в:;а. бялото вещество на главния мозък.;б. сивото вещество на шийната част на гръбначния мозък.;в. сивото вещество на гръдната част на гръбначния МОЗЪК.;г. сивото вещество на главния мозък.;в
Централната част на парасимпатикуса се намира в:;а. една област на мозъчния ствол и в сивото вещество на гръдната част на гръбначния мозък;б. две области на мозъчния ствол й в сивото вещество на шийната част на гръбначния мозък;в. три области на мозъчния ствол и в сивото вещество на коремната част на гръбначния мозък;г. четири области на мозъчния ствол и в сивото вещество на кръстцовата част на гръбначния мозък;г
Симпатиковият и парасимпатиковият дял на вегетативната нервна система действат:;а. несъгласувано;б. съвместно;в. противоположно;г. не си взаимодействат;в
Посочете грешното твърдение за симпатикуса:;а. ускорява сърдечната дейност;б. стеснява кръвоносните съдове;в. стеснява въздухоносните пътища;г. повишава кръвното налягане.;в
Посочете вярното твърдение за парасимпатикуса:;а. повишава дихателната активност;б. намалява перисталтиката на червата;в. понижава кръвното налягане;г. разширява зеницата;в
Централната част на симпатикуса и парасимпатикуса са под контрола на:;а. продълговатия мозък;б. подхълмието на междинния мозък;в. малкия мозък;г. хълмовете на междинния мозък;б
Блуждаещият нерв е част от:;а. симпатикуса;б. парасимпатикуса;в. соматичната нервна система;г. нито едно от посочените;б
Кои са двете части на вегетативната нервна система?;а. автономна и соматична;б. централна и периферна;в. симпатикова и парасимпатикова;г. нито едно от посочените;в
Влияе ли се дейността на вегетативната нервна система от емоционалното състояние на човека?;а. зависи от други фактори;б. не;в. да;г. нито едно от посочените;в
Кой дял на вегетативната нервна система позволява на организма да се възстанови, както и да съхрани своите сили и енергия?;а. симпатиковия;б. парасимпатиковия;в. периферния;г. нито един от посочените;б
Кой дял на вегетативната нервна система позволява на организма да повиши своята физическа активност?;а. симпатиковия;б. парасимпатиковия;в. периферния;г. централния;а
Коя част на нервната система не е под волев контрол?;а. централната;б. периферната;в. соматичната;г. вегетативната;г
Кой дял на нервната система контролира постоянството на телесната температура на тялото?;а. централна;б. периферна;в. соматична;г. вегетативна;г
Вегетативната нервна система не контролира:;а. храносмилането;б. кръвообращението;в. размножаването;г. движението на тялото в пространството;г
Кой дял на нервната система контролира вътрешната среда на организма?;а. централната;б. периферната;в. соматичната;г. вегетативната;г
Коя реакция е израз на действието на симпатикуса?;а. намалена сърдечна дейност;б. забавено дишане;в. намалена перисталтика и секреция на храносмилателни сокове;г. понижена температура;в
Коя реакция е израз на действието на парасимпатикуса?;а. ускорена сърдечна дейност;б. ускорено дишане;в. повишено кръвно налягане;г. засилена перисталтика и секреция на храносмилателни сокове;г
Ендокринната система е съставена от:;а. жлези с външна секреция;б. жлези с вътрешна секреция;в. жлези със смесена секреция;г. жлези с независима секреция;б
В поддържането на хомеостазата участват:;а. нервната система и ендокринната система;б. нервната система и храносмилателна система;в. кръвоносната система и храносмилателната система;г. ендокринната система и кръвоносната система;а
Кое е грешното твърдение за хуморалната регулация?;а. хуморалната регулация е по-бавна от нервната регулация;б. хуморалната регулация е по-бърза от нервната регулация;в. хуморалната регулация е с по-продължителен ефект;г. хуморалната регулация е с по-траен ефект;б
Секретът на ендокринните жлези се нарича:;а. албумин;б. хепарин;в. феромон;г. хормон;г
Жлезите с вътрешна секреция са подложени на контрол от страна на:;а. нервната система и хипофизата;б. вегетативната нервна система и епифизата;в. хипофизата и половите жлези;г. соматичната нервна система и хипофизата;а
Хормоните се отделят в:;а. храносмилателната система;б. черния дроб;в. кръвта;г. гръбначно-мозъчната течност;в
